Subject	Trial	StimType	StimCategory	Stimulus	KEY	Rating	RT
272	1	standard	PIX	ba_base_pix_w960.avi	4	No B	2.640
272	2	standard	PL	ba_base_pl_w288.avi	4	No B	2.161
272	3	oddball	PIX	ba_redu_pix_w960.avi	1	Strong	2.347
272	4	standard	PL	ba_base_pl_w288.avi	3	Weak	2.217
272	5	standard	PL	ba_base_pl_w288.avi	3	Weak	1.553
272	6	standard	AV	ba_base_face_w960.avi	4	No B	1.760
272	7	standard	AV	ba_base_face_w960.avi	4	No B	1.401
272	8	oddball	PL	ba_redu_pl_w288.avi	1	Strong	1.506
272	9	oddball	PL	ba_redu_pl_w288.avi	1	Strong	1.432
272	10	standard	PIX	ba_base_pix_w960.avi	4	No B	2.105
272	11	oddball	PL	ba_redu_pl_w288.avi	1	Strong	1.344
272	12	oddball	AV	ba_redu_face_w960.avi	1	Strong	1.612
272	13	oddball	AV	ba_redu_face_w960.avi	3	Weak	1.739
272	14	oddball	PL	ba_redu_pl_w288.avi	1	Strong	1.506
272	15	standard	AV	ba_base_face_w960.avi	3	Weak	1.842
272	16	standard	PIX	ba_base_pix_w960.avi	3	Weak	2.002
272	17	oddball	AV	ba_redu_face_w960.avi	1	Strong	1.605
272	18	standard	AV	ba_base_face_w960.avi	4	No B	1.451
272	19	standard	PIX	ba_base_pix_w960.avi	4	No B	1.573
272	20	standard	PIX	ba_base_pix_w960.avi	4	No B	1.365
272	21	oddball	PIX	ba_redu_pix_w960.avi	1	Strong	1.611
272	22	standard	AV	ba_base_face_w960.avi	4	No B	1.665
272	23	standard	PL	ba_base_pl_w288.avi	1	Strong	6.870
272	24	standard	PL	ba_base_pl_w288.avi	4	No B	2.209
272	25	oddball	PIX	ba_redu_pix_w960.avi	4	No B	2.243
272	26	oddball	PIX	ba_redu_pix_w960.avi	4	No B	1.768
272	27	oddball	PL	ba_redu_pl_w288.avi	4	No B	1.658
272	28	oddball	AV	ba_redu_face_w960.avi	4	No B	1.795
272	29	oddball	PIX	ba_redu_pix_w960.avi	4	No B	1.532
272	30	standard	PIX	ba_base_pix_w960.avi	1	Strong	1.856
272	31	oddball	PL	ba_redu_pl_w288.avi	1	Strong	1.495
272	32	standard	AV	ba_base_face_w960.avi	1	Strong	1.763
272	33	standard	PIX	ba_base_pix_w960.avi	1	Strong	1.523
272	34	standard	AV	ba_base_face_w960.avi	1	Strong	1.267
272	35	oddball	PIX	ba_redu_pix_w960.avi	1	Strong	1.625
272	36	oddball	AV	ba_redu_face_w960.avi	4	No B	2.031
272	37	standard	AV	ba_base_face_w960.avi	3	Weak	3.077
272	38	oddball	AV	ba_redu_face_w960.avi	1	Strong	1.506
272	39	oddball	AV	ba_redu_face_w960.avi	4	No B	1.498
272	40	standard	PL	ba_base_pl_w288.avi	1	Strong	1.713
272	41	oddball	PL	ba_redu_pl_w288.avi	4	No B	1.397
272	42	oddball	AV	ba_redu_face_w960.avi	3	Weak	1.869
272	43	oddball	PIX	ba_redu_pix_w960.avi	4	No B	1.667
272	44	standard	PL	ba_base_pl_w288.avi	2	Medium	1.900
272	45	standard	PL	ba_base_pl_w288.avi	1	Strong	1.654
272	46	standard	PIX	ba_base_pix_w960.avi	2	Medium	1.562
272	47	oddball	PIX	ba_redu_pix_w960.avi	1	Strong	1.300
272	48	standard	AV	ba_base_face_w960.avi	1	Strong	1.798
272	49	oddball	AV	ba_redu_face_w960.avi	3	Weak	2.270
272	50	standard	PL	ba_base_pl_w288.avi	3	Weak	1.566
272	51	oddball	PL	ba_redu_pl_w288.avi	3	Weak	2.294
272	52	oddball	PL	ba_redu_pl_w288.avi	3	Weak	1.507
272	53	oddball	PIX	ba_redu_pix_w960.avi	4	No B	1.831
272	54	standard	PIX	ba_base_pix_w960.avi	1	Strong	1.464
