Subject	Trial	StimType	StimCategory	Stimulus	KEY	Rating	RT
185	1	oddball	PL	ba_redu_pl_w288.avi	1	Strong	2.664
185	2	oddball	PL	ba_redu_pl_w288.avi	1	Strong	2.464
185	3	standard	PIX	ba_base_pix_w960.avi	2	Medium	3.141
185	4	standard	PL	ba_base_pl_w288.avi	2	Medium	3.361
185	5	oddball	PIX	ba_redu_pix_w960.avi	1	Strong	2.422
185	6	standard	AV	ba_base_face_w960.avi	1	Strong	2.109
185	7	oddball	AV	ba_redu_face_w960.avi	2	Medium	2.794
185	8	oddball	AV	ba_redu_face_w960.avi	2	Medium	2.099
185	9	standard	PIX	ba_base_pix_w960.avi	2	Medium	3.018
185	10	oddball	AV	ba_redu_face_w960.avi	1	Strong	1.962
185	11	oddball	PIX	ba_redu_pix_w960.avi	1	Strong	1.902
185	12	standard	PL	ba_base_pl_w288.avi	2	Medium	1.692
185	13	oddball	PL	ba_redu_pl_w288.avi	2	Medium	2.107
185	14	standard	AV	ba_base_face_w960.avi	2	Medium	5.309
185	15	oddball	AV	ba_redu_face_w960.avi	2	Medium	2.341
185	16	oddball	PIX	ba_redu_pix_w960.avi	1	Strong	1.949
185	17	oddball	PL	ba_redu_pl_w288.avi	1	Strong	1.990
185	18	standard	PIX	ba_base_pix_w960.avi	2	Medium	1.672
185	19	oddball	AV	ba_redu_face_w960.avi	2	Medium	2.386
185	20	standard	AV	ba_base_face_w960.avi	2	Medium	1.813
185	21	oddball	AV	ba_redu_face_w960.avi	2	Medium	3.619
185	22	standard	PIX	ba_base_pix_w960.avi	3	Weak	3.517
185	23	oddball	PL	ba_redu_pl_w288.avi	2	Medium	1.928
185	24	standard	PIX	ba_base_pix_w960.avi	2	Medium	4.269
185	25	standard	AV	ba_base_face_w960.avi	3	Weak	2.677
185	26	standard	PL	ba_base_pl_w288.avi	2	Medium	2.015
185	27	standard	PL	ba_base_pl_w288.avi	2	Medium	1.831
185	28	standard	AV	ba_base_face_w960.avi	1	Strong	2.512
185	29	standard	PL	ba_base_pl_w288.avi	1	Strong	2.099
185	30	oddball	PIX	ba_redu_pix_w960.avi	2	Medium	2.087
185	31	oddball	PIX	ba_redu_pix_w960.avi	2	Medium	1.922
185	32	standard	PL	ba_base_pl_w288.avi	1	Strong	1.415
185	33	oddball	PIX	ba_redu_pix_w960.avi	2	Medium	2.740
185	34	oddball	AV	ba_redu_face_w960.avi	3	Weak	2.580
185	35	standard	PIX	ba_base_pix_w960.avi	2	Medium	2.180
185	36	oddball	AV	ba_redu_face_w960.avi	2	Medium	1.910
185	37	standard	AV	ba_base_face_w960.avi	2	Medium	2.075
185	38	standard	PL	ba_base_pl_w288.avi	1	Strong	1.822
185	39	standard	PL	ba_base_pl_w288.avi	1	Strong	1.934
185	40	oddball	AV	ba_redu_face_w960.avi	2	Medium	1.997
185	41	standard	PIX	ba_base_pix_w960.avi	2	Medium	3.309
185	42	oddball	PL	ba_redu_pl_w288.avi	1	Strong	1.944
185	43	standard	PIX	ba_base_pix_w960.avi	3	Weak	2.121
185	44	standard	AV	ba_base_face_w960.avi	3	Weak	2.167
185	45	standard	AV	ba_base_face_w960.avi	2	Medium	2.178
185	46	oddball	PL	ba_redu_pl_w288.avi	1	Strong	1.982
185	47	standard	AV	ba_base_face_w960.avi	2	Medium	1.754
185	48	oddball	PL	ba_redu_pl_w288.avi	1	Strong	1.890
185	49	oddball	PIX	ba_redu_pix_w960.avi	2	Medium	1.740
185	50	oddball	PIX	ba_redu_pix_w960.avi	2	Medium	1.843
185	51	oddball	PL	ba_redu_pl_w288.avi	1	Strong	1.681
185	52	standard	PIX	ba_base_pix_w960.avi	2	Medium	1.768
185	53	oddball	PIX	ba_redu_pix_w960.avi	2	Medium	2.275
185	54	standard	PL	ba_base_pl_w288.avi	1	Strong	1.672
