0.0005 	WARNING 	Monitor specification not found. Creating a temporary one...
45.9605 	DATA 	Keypress: space
50.4012 	DATA 	Keypress: space
63.2359 	DATA 	Keypress: space
65.5597 	DATA 	Keypress: f
67.4782 	DATA 	Keypress: j
69.6976 	DATA 	Keypress: j
72.3440 	DATA 	Keypress: j
74.5932 	DATA 	Keypress: j
76.5088 	DATA 	Keypress: j
78.6974 	DATA 	Keypress: f
80.9641 	DATA 	Keypress: j
83.6776 	DATA 	Keypress: j
85.9438 	DATA 	Keypress: f
87.8776 	DATA 	Keypress: j
90.1613 	DATA 	Keypress: j
92.3140 	DATA 	Keypress: j
94.5809 	DATA 	Keypress: j
96.8480 	DATA 	Keypress: j
99.1095 	DATA 	Keypress: j
101.3264 	DATA 	Keypress: f
103.5758 	DATA 	Keypress: j
106.3275 	DATA 	Keypress: f
108.5944 	DATA 	Keypress: j
110.4981 	DATA 	Keypress: j
113.1113 	DATA 	Keypress: f
115.3791 	DATA 	Keypress: f
117.3452 	DATA 	Keypress: j
119.9113 	DATA 	Keypress: j
121.8279 	DATA 	Keypress: f
123.9985 	DATA 	Keypress: j
126.2980 	DATA 	Keypress: f
128.4974 	DATA 	Keypress: f
130.7969 	DATA 	Keypress: j
133.1789 	DATA 	Keypress: f
135.3648 	DATA 	Keypress: f
137.5980 	DATA 	Keypress: j
139.8308 	DATA 	Keypress: f
142.1303 	DATA 	Keypress: f
144.8114 	DATA 	Keypress: j
147.0598 	DATA 	Keypress: f
149.3268 	DATA 	Keypress: j
151.1321 	DATA 	Keypress: f
153.4136 	DATA 	Keypress: f
155.7650 	DATA 	Keypress: j
157.9925 	DATA 	Keypress: f
160.1653 	DATA 	Keypress: j
162.4484 	DATA 	Keypress: j
164.7091 	DATA 	Keypress: j
167.0303 	DATA 	Keypress: j
169.2469 	DATA 	Keypress: j
171.5803 	DATA 	Keypress: j
173.7975 	DATA 	Keypress: f
176.0975 	DATA 	Keypress: f
178.4608 	DATA 	Keypress: f
180.6263 	DATA 	Keypress: j
182.8431 	DATA 	Keypress: j
185.1630 	DATA 	Keypress: j
187.4648 	DATA 	Keypress: f
189.6482 	DATA 	Keypress: j
191.9981 	DATA 	Keypress: f
194.2420 	DATA 	Keypress: f
196.4754 	DATA 	Keypress: f
198.6932 	DATA 	Keypress: f
200.9258 	DATA 	Keypress: j
203.2481 	DATA 	Keypress: f
205.5306 	DATA 	Keypress: j
207.8314 	DATA 	Keypress: f
210.0428 	DATA 	Keypress: j
212.4279 	DATA 	Keypress: j
214.4928 	DATA 	Keypress: j
216.7431 	DATA 	Keypress: j
219.0463 	DATA 	Keypress: j
221.2590 	DATA 	Keypress: j
223.5979 	DATA 	Keypress: j
225.8656 	DATA 	Keypress: f
228.0754 	DATA 	Keypress: f
230.4424 	DATA 	Keypress: j
232.7259 	DATA 	Keypress: f
234.9146 	DATA 	Keypress: j
237.3782 	DATA 	Keypress: f
239.9454 	DATA 	Keypress: f
241.8616 	DATA 	Keypress: f
244.0814 	DATA 	Keypress: f
246.2142 	DATA 	Keypress: f
248.4422 	DATA 	Keypress: j
250.6936 	DATA 	Keypress: j
252.9592 	DATA 	Keypress: j
255.3979 	DATA 	Keypress: f
