0.0004 	WARNING 	Monitor specification not found. Creating a temporary one...
21.9416 	DATA 	Keypress: space
25.4576 	DATA 	Keypress: space
32.3258 	DATA 	Keypress: space
35.0789 	DATA 	Keypress: j
37.1116 	DATA 	Keypress: j
39.7437 	DATA 	Keypress: j
42.1054 	DATA 	Keypress: j
44.2613 	DATA 	Keypress: j
46.4029 	DATA 	Keypress: j
48.6873 	DATA 	Keypress: j
50.9735 	DATA 	Keypress: j
53.2306 	DATA 	Keypress: j
55.5103 	DATA 	Keypress: j
57.8393 	DATA 	Keypress: j
60.0757 	DATA 	Keypress: j
62.3899 	DATA 	Keypress: j
64.6031 	DATA 	Keypress: j
66.4547 	DATA 	Keypress: j
68.7487 	DATA 	Keypress: j
71.1563 	DATA 	Keypress: j
73.2717 	DATA 	Keypress: j
75.5236 	DATA 	Keypress: j
77.8395 	DATA 	Keypress: j
80.2466 	DATA 	Keypress: j
82.3716 	DATA 	Keypress: j
84.6522 	DATA 	Keypress: j
86.9603 	DATA 	Keypress: j
89.3342 	DATA 	Keypress: j
91.5475 	DATA 	Keypress: j
93.8123 	DATA 	Keypress: j
96.1398 	DATA 	Keypress: j
98.2893 	DATA 	Keypress: j
100.6177 	DATA 	Keypress: j
102.9345 	DATA 	Keypress: j
105.5408 	DATA 	Keypress: j
107.3995 	DATA 	Keypress: j
109.7297 	DATA 	Keypress: j
112.1095 	DATA 	Keypress: j
114.6203 	DATA 	Keypress: j
116.8859 	DATA 	Keypress: j
118.7380 	DATA 	Keypress: a
121.1103 	DATA 	Keypress: j
123.4073 	DATA 	Keypress: j
125.7316 	DATA 	Keypress: j
127.9949 	DATA 	Keypress: j
130.1474 	DATA 	Keypress: j
132.4063 	DATA 	Keypress: a
134.6725 	DATA 	Keypress: a
136.9745 	DATA 	Keypress: j
139.2913 	DATA 	Keypress: j
141.5051 	DATA 	Keypress: a
143.9771 	DATA 	Keypress: a
146.0666 	DATA 	Keypress: a
148.3219 	DATA 	Keypress: a
150.5727 	DATA 	Keypress: a
152.8570 	DATA 	Keypress: j
155.2001 	DATA 	Keypress: a
157.4692 	DATA 	Keypress: a
159.6696 	DATA 	Keypress: a
161.9561 	DATA 	Keypress: a
164.2296 	DATA 	Keypress: a
166.4897 	DATA 	Keypress: a
168.7566 	DATA 	Keypress: a
171.0386 	DATA 	Keypress: j
173.4131 	DATA 	Keypress: j
176.0002 	DATA 	Keypress: j
178.3883 	DATA 	Keypress: j
180.5540 	DATA 	Keypress: j
182.4049 	DATA 	Keypress: a
184.8205 	DATA 	Keypress: j
187.1281 	DATA 	Keypress: a
189.3176 	DATA 	Keypress: a
191.5639 	DATA 	Keypress: j
193.8189 	DATA 	Keypress: a
196.0696 	DATA 	Keypress: a
198.3500 	DATA 	Keypress: a
200.7574 	DATA 	Keypress: j
202.9411 	DATA 	Keypress: j
205.3001 	DATA 	Keypress: j
207.5043 	DATA 	Keypress: a
209.7242 	DATA 	Keypress: a
211.9735 	DATA 	Keypress: a
214.2869 	DATA 	Keypress: j
216.9678 	DATA 	Keypress: j
218.9006 	DATA 	Keypress: a
221.0893 	DATA 	Keypress: j
223.4935 	DATA 	Keypress: j
225.6962 	DATA 	Keypress: a
228.0529 	DATA 	Keypress: j
230.6827 	DATA 	Keypress: j
233.0128 	DATA 	Keypress: j
234.8865 	DATA 	Keypress: a
237.1904 	DATA 	Keypress: a
239.8270 	DATA 	Keypress: a
241.8536 	DATA 	Keypress: j
244.0827 	DATA 	Keypress: a
246.3235 	DATA 	Keypress: j
248.5006 	DATA 	Keypress: a
250.8999 	DATA 	Keypress: j
253.1832 	DATA 	Keypress: a
255.3350 	DATA 	Keypress: a
257.6662 	DATA 	Keypress: j
259.8392 	DATA 	Keypress: a
265.1039 	DATA 	Keypress: space
267.5674 	DATA 	Keypress: f
269.8883 	DATA 	Keypress: f
271.8535 	DATA 	Keypress: j
273.9589 	DATA 	Keypress: f
276.2269 	DATA 	Keypress: j
278.6059 	DATA 	Keypress: j
280.8636 	DATA 	Keypress: j
283.0432 	DATA 	Keypress: j
285.2803 	DATA 	Keypress: f
287.4559 	DATA 	Keypress: j
289.7265 	DATA 	Keypress: f
292.3195 	DATA 	Keypress: f
294.3767 	DATA 	Keypress: j
296.4558 	DATA 	Keypress: f
298.7078 	DATA 	Keypress: f
300.9723 	DATA 	Keypress: j
303.3687 	DATA 	Keypress: j
305.4728 	DATA 	Keypress: f
307.7226 	DATA 	Keypress: j
309.9747 	DATA 	Keypress: f
312.2237 	DATA 	Keypress: f
314.4738 	DATA 	Keypress: f
316.7223 	DATA 	Keypress: f
318.9905 	DATA 	Keypress: f
321.2402 	DATA 	Keypress: f
323.5360 	DATA 	Keypress: f
325.7563 	DATA 	Keypress: f
328.0227 	DATA 	Keypress: j
330.2739 	DATA 	Keypress: j
332.5228 	DATA 	Keypress: j
334.7963 	DATA 	Keypress: j
337.0565 	DATA 	Keypress: j
339.3056 	DATA 	Keypress: j
341.6139 	DATA 	Keypress: f
343.8057 	DATA 	Keypress: f
346.1094 	DATA 	Keypress: f
348.3233 	DATA 	Keypress: j
350.5724 	DATA 	Keypress: f
352.8409 	DATA 	Keypress: j
355.1061 	DATA 	Keypress: f
357.3563 	DATA 	Keypress: f
359.6720 	DATA 	Keypress: f
361.9022 	DATA 	Keypress: j
364.1524 	DATA 	Keypress: j
366.3724 	DATA 	Keypress: f
368.6231 	DATA 	Keypress: f
370.8735 	DATA 	Keypress: j
373.2371 	DATA 	Keypress: f
375.7722 	DATA 	Keypress: f
378.0124 	DATA 	Keypress: j
380.2684 	DATA 	Keypress: f
382.6221 	DATA 	Keypress: f
384.7737 	DATA 	Keypress: j
387.1055 	DATA 	Keypress: j
389.3124 	DATA 	Keypress: j
391.5520 	DATA 	Keypress: f
393.8046 	DATA 	Keypress: f
396.1730 	DATA 	Keypress: f
398.3381 	DATA 	Keypress: f
400.8222 	DATA 	Keypress: f
402.8078 	DATA 	Keypress: f
405.0582 	DATA 	Keypress: f
407.3728 	DATA 	Keypress: j
409.5681 	DATA 	Keypress: j
411.8286 	DATA 	Keypress: f
414.0750 	DATA 	Keypress: j
416.3335 	DATA 	Keypress: f
418.5848 	DATA 	Keypress: j
420.8425 	DATA 	Keypress: f
423.0920 	DATA 	Keypress: f
425.3539 	DATA 	Keypress: f
427.6000 	DATA 	Keypress: f
