0.0005 	WARNING 	Monitor specification not found. Creating a temporary one...
19.9800 	DATA 	Keypress: space
25.2880 	DATA 	Keypress: space
33.1443 	DATA 	Keypress: space
35.4306 	DATA 	Keypress: j
37.6817 	DATA 	Keypress: j
39.4626 	DATA 	Keypress: j
42.5622 	DATA 	Keypress: a
44.4471 	DATA 	Keypress: j
46.0457 	DATA 	Keypress: j
48.4473 	DATA 	Keypress: j
51.2140 	DATA 	Keypress: a
53.4634 	DATA 	Keypress: j
54.9488 	DATA 	Keypress: j
57.3470 	DATA 	Keypress: j
59.5968 	DATA 	Keypress: j
62.4815 	DATA 	Keypress: a
63.4478 	DATA 	Keypress: f
64.7304 	DATA 	Keypress: j
66.5133 	DATA 	Keypress: j
69.3936 	DATA 	Keypress: f
71.9485 	DATA 	Keypress: f
73.7470 	DATA 	Keypress: j
76.0596 	DATA 	Keypress: f
77.6303 	DATA 	Keypress: j
80.6256 	DATA 	Keypress: f
82.3634 	DATA 	Keypress: j
85.0305 	DATA 	Keypress: f
87.6405 	DATA 	Keypress: f
89.2114 	DATA 	Keypress: j
91.7807 	DATA 	Keypress: f
94.0302 	DATA 	Keypress: f
95.5963 	DATA 	Keypress: j
98.5302 	DATA 	Keypress: f
100.2460 	DATA 	Keypress: j
102.6295 	DATA 	Keypress: f
104.9143 	DATA 	Keypress: j
107.5303 	DATA 	Keypress: j
110.9814 	DATA 	Keypress: j
111.4956 	DATA 	Keypress: f
114.2975 	DATA 	Keypress: j
116.5484 	DATA 	Keypress: f
116.5515 	DATA 	Keypress: f
116.7336 	DATA 	Keypress: f
116.9979 	DATA 	Keypress: f
118.7957 	DATA 	Keypress: j
121.0595 	DATA 	Keypress: f
123.2979 	DATA 	Keypress: j
125.5478 	DATA 	Keypress: j
127.7971 	DATA 	Keypress: f
128.5470 	DATA 	Keypress: space
129.7296 	DATA 	Keypress: j
132.2983 	DATA 	Keypress: f
134.5474 	DATA 	Keypress: j
136.7976 	DATA 	Keypress: f
139.0672 	DATA 	Keypress: j
141.2982 	DATA 	Keypress: j
143.1131 	DATA 	Keypress: f
145.4967 	DATA 	Keypress: f
147.4631 	DATA 	Keypress: j
150.3138 	DATA 	Keypress: f
152.6032 	DATA 	Keypress: f
154.8136 	DATA 	Keypress: f
157.1089 	DATA 	Keypress: f
159.3142 	DATA 	Keypress: j
161.5647 	DATA 	Keypress: j
163.8160 	DATA 	Keypress: j
166.0804 	DATA 	Keypress: j
167.9464 	DATA 	Keypress: j
170.6701 	DATA 	Keypress: f
172.4460 	DATA 	Keypress: j
174.4297 	DATA 	Keypress: k
176.6459 	DATA 	Keypress: k
178.8479 	DATA 	Keypress: k
181.0975 	DATA 	Keypress: k
184.0812 	DATA 	Keypress: f
185.9636 	DATA 	Keypress: f
187.8468 	DATA 	Keypress: k
190.4293 	DATA 	Keypress: f
192.5465 	DATA 	Keypress: k
194.5972 	DATA 	Keypress: k
196.8469 	DATA 	Keypress: k
199.8636 	DATA 	Keypress: f
201.6797 	DATA 	Keypress: f
203.7967 	DATA 	Keypress: k
206.6311 	DATA 	Keypress: f
208.5468 	DATA 	Keypress: f
211.1478 	DATA 	Keypress: j
212.8971 	DATA 	Keypress: f
215.0294 	DATA 	Keypress: j
217.4638 	DATA 	Keypress: j
220.3621 	DATA 	Keypress: f
222.8976 	DATA 	Keypress: f
225.2297 	DATA 	Keypress: f
226.9140 	DATA 	Keypress: f
228.5624 	DATA 	Keypress: f
230.8459 	DATA 	Keypress: f
233.6797 	DATA 	Keypress: f
235.6298 	DATA 	Keypress: j
237.8309 	DATA 	Keypress: f
240.4471 	DATA 	Keypress: j
242.3796 	DATA 	Keypress: f
244.4141 	DATA 	Keypress: j
246.6124 	DATA 	Keypress: j
249.4469 	DATA 	Keypress: f
251.6971 	DATA 	Keypress: f
253.9472 	DATA 	Keypress: f
256.2102 	DATA 	Keypress: f
259.0589 	DATA 	Keypress: f
272.1805 	DATA 	Keypress: space
275.2962 	DATA 	Keypress: j
276.7330 	DATA 	Keypress: j
278.7973 	DATA 	Keypress: j
280.6682 	DATA 	Keypress: j
282.8295 	DATA 	Keypress: j
285.0842 	DATA 	Keypress: j
287.3024 	DATA 	Keypress: j
289.6842 	DATA 	Keypress: j
291.8676 	DATA 	Keypress: j
294.0694 	DATA 	Keypress: j
296.4012 	DATA 	Keypress: j
298.7335 	DATA 	Keypress: j
300.8517 	DATA 	Keypress: j
303.1959 	DATA 	Keypress: j
305.4292 	DATA 	Keypress: j
307.5846 	DATA 	Keypress: j
309.9804 	DATA 	Keypress: j
312.1856 	DATA 	Keypress: j
314.4014 	DATA 	Keypress: j
316.5964 	DATA 	Keypress: j
319.0133 	DATA 	Keypress: j
321.3185 	DATA 	Keypress: j
323.6676 	DATA 	Keypress: j
325.7688 	DATA 	Keypress: j
328.0180 	DATA 	Keypress: j
330.4958 	DATA 	Keypress: j
332.5523 	DATA 	Keypress: j
334.7858 	DATA 	Keypress: j
337.2348 	DATA 	Keypress: j
339.9153 	DATA 	Keypress: j
341.8481 	DATA 	Keypress: j
343.9862 	DATA 	Keypress: j
346.6810 	DATA 	Keypress: j
348.5466 	DATA 	Keypress: j
350.9149 	DATA 	Keypress: j
353.4981 	DATA 	Keypress: j
355.1521 	DATA 	Keypress: j
357.5343 	DATA 	Keypress: j
359.7017 	DATA 	Keypress: j
362.1188 	DATA 	Keypress: j
364.1855 	DATA 	Keypress: j
366.4513 	DATA 	Keypress: j
369.3477 	DATA 	Keypress: j
371.2647 	DATA 	Keypress: j
373.8482 	DATA 	Keypress: j
375.6854 	DATA 	Keypress: j
377.9297 	DATA 	Keypress: j
380.1019 	DATA 	Keypress: j
383.6525 	DATA 	Keypress: j
385.1802 	DATA 	Keypress: j
386.7632 	DATA 	Keypress: j
388.9800 	DATA 	Keypress: j
391.3634 	DATA 	Keypress: j
393.5518 	DATA 	Keypress: j
395.7188 	DATA 	Keypress: j
398.0469 	DATA 	Keypress: j
400.2679 	DATA 	Keypress: j
402.7295 	DATA 	Keypress: j
404.8355 	DATA 	Keypress: j
407.1199 	DATA 	Keypress: j
409.3838 	DATA 	Keypress: j
411.5294 	DATA 	Keypress: j
413.9186 	DATA 	Keypress: j
416.2682 	DATA 	Keypress: j
418.6134 	DATA 	Keypress: j
421.3656 	DATA 	Keypress: j
423.1021 	DATA 	Keypress: j
425.4184 	DATA 	Keypress: j
427.5014 	DATA 	Keypress: j
429.8521 	DATA 	Keypress: j
431.9630 	DATA 	Keypress: j
434.4012 	DATA 	Keypress: j
436.7345 	DATA 	Keypress: j
438.5854 	DATA 	Keypress: j
441.1184 	DATA 	Keypress: j
443.3188 	DATA 	Keypress: j
445.6033 	DATA 	Keypress: j
447.9800 	DATA 	Keypress: j
450.1962 	DATA 	Keypress: j
452.3978 	DATA 	Keypress: j
454.6136 	DATA 	Keypress: j
456.8454 	DATA 	Keypress: j
459.1303 	DATA 	Keypress: j
461.7817 	DATA 	Keypress: j
463.8025 	DATA 	Keypress: j
466.6472 	DATA 	Keypress: j
468.4347 	DATA 	Keypress: j
470.3965 	DATA 	Keypress: j
472.7852 	DATA 	Keypress: j
475.0182 	DATA 	Keypress: j
477.9312 	DATA 	Keypress: j
479.8645 	DATA 	Keypress: j
481.9194 	DATA 	Keypress: j
484.2626 	DATA 	Keypress: j
487.1210 	DATA 	Keypress: j
488.9015 	DATA 	Keypress: j
490.9965 	DATA 	Keypress: j
493.2355 	DATA 	Keypress: j
495.5466 	DATA 	Keypress: j
497.9796 	DATA 	Keypress: j
501.6123 	DATA 	Keypress: space
504.8844 	DATA 	Keypress: j
505.6153 	DATA 	Keypress: j
507.6019 	DATA 	Keypress: j
509.8131 	DATA 	Keypress: j
512.0353 	DATA 	Keypress: j
514.2868 	DATA 	Keypress: j
516.5847 	DATA 	Keypress: j
520.1631 	DATA 	Keypress: f
521.8925 	DATA 	Keypress: f
524.4345 	DATA 	Keypress: f
525.8179 	DATA 	Keypress: f
527.9183 	DATA 	Keypress: f
530.8143 	DATA 	Keypress: j
533.2626 	DATA 	Keypress: f
534.9981 	DATA 	Keypress: j
537.0514 	DATA 	Keypress: f
540.2979 	DATA 	Keypress: j
541.7811 	DATA 	Keypress: j
544.3808 	DATA 	Keypress: f
546.6304 	DATA 	Keypress: f
548.2530 	DATA 	Keypress: j
551.1304 	DATA 	Keypress: f
553.3984 	DATA 	Keypress: j
554.9857 	DATA 	Keypress: j
557.3460 	DATA 	Keypress: j
560.1818 	DATA 	Keypress: f
562.5364 	DATA 	Keypress: f
564.3123 	DATA 	Keypress: f
566.9814 	DATA 	Keypress: f
569.2318 	DATA 	Keypress: j
571.4984 	DATA 	Keypress: f
573.7653 	DATA 	Keypress: f
575.5176 	DATA 	Keypress: j
578.2644 	DATA 	Keypress: f
580.5315 	DATA 	Keypress: j
582.4814 	DATA 	Keypress: j
585.0645 	DATA 	Keypress: f
587.3234 	DATA 	Keypress: j
589.5806 	DATA 	Keypress: j
591.4687 	DATA 	Keypress: j
593.4628 	DATA 	Keypress: j
597.9023 	DATA 	Keypress: j
598.6539 	DATA 	Keypress: f
600.5989 	DATA 	Keypress: j
602.8542 	DATA 	Keypress: f
605.4650 	DATA 	Keypress: j
607.3976 	DATA 	Keypress: f
609.9987 	DATA 	Keypress: f
611.9316 	DATA 	Keypress: f
614.1472 	DATA 	Keypress: f
616.2131 	DATA 	Keypress: j
618.7189 	DATA 	Keypress: f
621.0018 	DATA 	Keypress: f
623.2300 	DATA 	Keypress: f
625.6481 	DATA 	Keypress: f
628.2471 	DATA 	Keypress: f
630.1362 	DATA 	Keypress: f
632.7480 	DATA 	Keypress: j
634.6295 	DATA 	Keypress: f
636.8298 	DATA 	Keypress: j
639.1352 	DATA 	Keypress: f
641.7815 	DATA 	Keypress: j
643.6509 	DATA 	Keypress: j
645.8458 	DATA 	Keypress: j
648.1339 	DATA 	Keypress: j
650.2197 	DATA 	Keypress: j
652.5845 	DATA 	Keypress: j
654.9682 	DATA 	Keypress: f
657.1179 	DATA 	Keypress: j
659.8812 	DATA 	Keypress: f
661.7854 	DATA 	Keypress: f
663.9802 	DATA 	Keypress: f
666.2132 	DATA 	Keypress: f
668.9325 	DATA 	Keypress: j
670.8638 	DATA 	Keypress: f
673.0687 	DATA 	Keypress: j
675.3139 	DATA 	Keypress: j
677.5354 	DATA 	Keypress: j
679.8179 	DATA 	Keypress: f
682.0339 	DATA 	Keypress: j
684.3025 	DATA 	Keypress: f
