Subject	Block	Trial	StimType	StimCategory	Stimulus	ACC	RESP	Sound	RT
108	1	1	oddball	AV	ba_redu_face_w960.avi	0	none	none	999.000
108	1	2	standard	AV	ba_base_face_w960.avi	1	j	BA	1.894
108	1	3	standard	AV	ba_base_face_w960.avi	0	none	none	999.000
108	1	4	standard	AV	ba_base_face_w960.avi	1	j	BA	1.185
108	1	5	oddball	AV	ba_redu_face_w960.avi	0	j	BA	1.366
108	1	6	oddball	AV	ba_redu_face_w960.avi	0	j	BA	1.848
108	1	7	standard	AV	ba_base_face_w960.avi	1	j	BA	1.162
108	1	8	standard	AV	ba_base_face_w960.avi	1	j	BA	1.939
108	1	9	oddball	AV	ba_redu_face_w960.avi	0	none	none	999.000
108	1	10	standard	AV	ba_base_face_w960.avi	1	j	BA	1.026
108	1	11	standard	AV	ba_base_face_w960.avi	0	none	none	999.000
108	1	12	standard	AV	ba_base_face_w960.avi	0	none	none	999.000
108	1	13	standard	AV	ba_base_face_w960.avi	0	none	none	999.000
108	1	14	oddball	AV	ba_redu_face_w960.avi	0	none	none	999.000
108	1	15	oddball	AV	ba_redu_face_w960.avi	0	none	none	999.000
108	1	16	oddball	AV	ba_redu_face_w960.avi	0	none	none	999.000
108	1	17	standard	AV	ba_base_face_w960.avi	1	j	BA	1.131
108	1	18	standard	AV	ba_base_face_w960.avi	1	j	BA	1.262
108	1	19	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.863
108	1	20	standard	AV	ba_base_face_w960.avi	1	j	BA	1.369
108	1	21	oddball	AV	ba_redu_face_w960.avi	0	j	BA	1.859
108	1	22	oddball	AV	ba_redu_face_w960.avi	0	j	BA	1.982
108	1	23	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.849
108	1	24	oddball	AV	ba_redu_face_w960.avi	0	j	BA	1.862
108	1	25	standard	AV	ba_base_face_w960.avi	1	j	BA	1.533
108	1	26	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.856
108	1	27	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.855
108	1	28	standard	AV	ba_base_face_w960.avi	1	j	BA	1.443
108	1	29	oddball	AV	ba_redu_face_w960.avi	0	j	BA	1.861
108	1	30	standard	AV	ba_base_face_w960.avi	1	j	BA	1.409
108	1	31	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.534
108	1	32	standard	AV	ba_base_face_w960.avi	0	f	A	1.511
108	1	33	standard	AV	ba_base_face_w960.avi	1	j	BA	1.254
108	1	34	standard	AV	ba_base_face_w960.avi	1	j	BA	1.311
108	1	35	standard	AV	ba_base_face_w960.avi	1	j	BA	1.171
108	1	36	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.218
108	1	37	standard	AV	ba_base_face_w960.avi	1	j	BA	1.357
108	1	38	standard	AV	ba_base_face_w960.avi	1	j	BA	1.399
108	1	39	standard	AV	ba_base_face_w960.avi	0	f	A	1.544
108	1	40	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.850
108	1	41	standard	AV	ba_base_face_w960.avi	1	j	BA	1.467
108	1	42	standard	AV	ba_base_face_w960.avi	1	j	BA	1.399
108	1	43	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.401
108	1	44	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.455
108	1	45	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.464
108	1	46	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.508
108	1	47	standard	AV	ba_base_face_w960.avi	1	j	BA	1.506
108	1	48	standard	AV	ba_base_face_w960.avi	1	j	BA	1.462
108	1	49	standard	AV	ba_base_face_w960.avi	1	j	BA	1.387
108	1	50	standard	AV	ba_base_face_w960.avi	1	j	BA	1.405
108	1	51	standard	AV	ba_base_face_w960.avi	1	j	BA	1.307
108	1	52	standard	AV	ba_base_face_w960.avi	1	j	BA	1.401
108	1	53	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.545
108	1	54	standard	AV	ba_base_face_w960.avi	1	j	BA	1.478
108	1	55	standard	AV	ba_base_face_w960.avi	1	j	BA	1.847
108	1	56	standard	AV	ba_base_face_w960.avi	1	j	BA	1.858
108	1	57	standard	AV	ba_base_face_w960.avi	1	j	BA	1.433
108	1	58	standard	AV	ba_base_face_w960.avi	1	j	BA	1.331
108	1	59	standard	AV	ba_base_face_w960.avi	1	j	BA	1.297
108	1	60	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.420
108	1	61	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.396
108	1	62	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.487
108	1	63	standard	AV	ba_base_face_w960.avi	1	j	BA	1.397
108	1	64	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.490
108	1	65	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.431
108	1	66	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.466
108	1	67	standard	AV	ba_base_face_w960.avi	1	j	BA	1.859
108	1	68	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.861
108	1	69	standard	AV	ba_base_face_w960.avi	1	j	BA	1.546
108	1	70	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.855
108	1	71	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.529
108	1	72	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.546
108	1	73	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.853
108	1	74	standard	AV	ba_base_face_w960.avi	1	j	BA	1.499
108	1	75	standard	AV	ba_base_face_w960.avi	1	j	BA	1.456
108	1	76	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.462
108	1	77	standard	AV	ba_base_face_w960.avi	1	j	BA	1.861
108	1	78	standard	AV	ba_base_face_w960.avi	1	j	BA	1.363
108	1	79	standard	AV	ba_base_face_w960.avi	1	j	BA	1.426
108	1	80	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.465
108	1	81	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.467
108	1	82	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.452
108	1	83	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.434
108	1	84	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.496
108	1	85	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.854
108	1	86	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.849
108	1	87	standard	AV	ba_base_face_w960.avi	1	j	BA	1.500
108	1	88	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.855
108	1	89	standard	AV	ba_base_face_w960.avi	1	j	BA	1.403
108	1	90	standard	AV	ba_base_face_w960.avi	1	j	BA	1.851
108	1	91	oddball	AV	ba_redu_face_w960.avi	0	j	BA	1.925
108	1	92	oddball	AV	ba_redu_face_w960.avi	1	f	A	1.511
