0.0004 	WARNING 	Monitor specification not found. Creating a temporary one...
48.6722 	DATA 	Keypress: space
55.8081 	DATA 	Keypress: space
67.7141 	DATA 	Keypress: space
106.2459 	DATA 	Keypress: space
169.2750 	DATA 	Keypress: space
306.8824 	DATA 	Keypress: space
315.4262 	DATA 	Keypress: j
478.6632 	DATA 	Keypress: j
551.6079 	DATA 	Keypress: space
567.3106 	DATA 	Keypress: f
569.5599 	DATA 	Keypress: f
571.8424 	DATA 	Keypress: j
574.0938 	DATA 	Keypress: f
575.9650 	DATA 	Keypress: j
578.6096 	DATA 	Keypress: j
580.8776 	DATA 	Keypress: f
583.1269 	DATA 	Keypress: j
584.7643 	DATA 	Keypress: f
589.3416 	DATA 	Keypress: j
591.6580 	DATA 	Keypress: j
593.8481 	DATA 	Keypress: j
595.7975 	DATA 	Keypress: j
598.2748 	DATA 	Keypress: j
600.5808 	DATA 	Keypress: j
602.8589 	DATA 	Keypress: j
605.2967 	DATA 	Keypress: j
608.1154 	DATA 	Keypress: j
610.2424 	DATA 	Keypress: j
614.7599 	DATA 	Keypress: j
617.0101 	DATA 	Keypress: f
619.2607 	DATA 	Keypress: j
621.0084 	DATA 	Keypress: j
623.8611 	DATA 	Keypress: j
626.0605 	DATA 	Keypress: j
627.6977 	DATA 	Keypress: f
630.0810 	DATA 	Keypress: j
635.1287 	DATA 	Keypress: j
636.9646 	DATA 	Keypress: j
639.1808 	DATA 	Keypress: f
641.9101 	DATA 	Keypress: f
644.1608 	DATA 	Keypress: j
646.4283 	DATA 	Keypress: j
648.1806 	DATA 	Keypress: j
650.4150 	DATA 	Keypress: f
653.3650 	DATA 	Keypress: f
655.5448 	DATA 	Keypress: f
657.8094 	DATA 	Keypress: j
660.5274 	DATA 	Keypress: j
662.3757 	DATA 	Keypress: f
664.6601 	DATA 	Keypress: f
666.9440 	DATA 	Keypress: j
669.3095 	DATA 	Keypress: j
671.9144 	DATA 	Keypress: j
673.4430 	DATA 	Keypress: f
676.0618 	DATA 	Keypress: j
678.3280 	DATA 	Keypress: j
680.0134 	DATA 	Keypress: f
682.8441 	DATA 	Keypress: f
685.1877 	DATA 	Keypress: j
687.3767 	DATA 	Keypress: j
689.0981 	DATA 	Keypress: f
691.9208 	DATA 	Keypress: j
694.2722 	DATA 	Keypress: j
696.0139 	DATA 	Keypress: j
699.0739 	DATA 	Keypress: j
701.3536 	DATA 	Keypress: f
707.7101 	DATA 	Keypress: f
709.6603 	DATA 	Keypress: j
712.6476 	DATA 	Keypress: j
714.9004 	DATA 	Keypress: j
716.4261 	DATA 	Keypress: f
718.6465 	DATA 	Keypress: f
721.2608 	DATA 	Keypress: f
721.3177 	DATA 	Keypress: f
723.5256 	DATA 	Keypress: j
725.7947 	DATA 	Keypress: j
727.7091 	DATA 	Keypress: j
729.7090 	DATA 	Keypress: j
732.0306 	DATA 	Keypress: j
734.2756 	DATA 	Keypress: j
736.5148 	DATA 	Keypress: j
739.0601 	DATA 	Keypress: f
741.6444 	DATA 	Keypress: j
743.4984 	DATA 	Keypress: j
745.7140 	DATA 	Keypress: j
747.8975 	DATA 	Keypress: j
750.1144 	DATA 	Keypress: j
752.4920 	DATA 	Keypress: f
754.6651 	DATA 	Keypress: j
756.8479 	DATA 	Keypress: j
759.0982 	DATA 	Keypress: j
762.0099 	DATA 	Keypress: f
764.4378 	DATA 	Keypress: j
766.1918 	DATA 	Keypress: j
768.3641 	DATA 	Keypress: f
770.5310 	DATA 	Keypress: j
772.9097 	DATA 	Keypress: f
775.5933 	DATA 	Keypress: f
777.4819 	DATA 	Keypress: f
803.2142 	DATA 	Keypress: space
805.2611 	DATA 	Keypress: 1
809.5662 	DATA 	Keypress: 1
813.1131 	DATA 	Keypress: 1
814.7761 	DATA 	Keypress: 1
816.5253 	DATA 	Keypress: 1
822.6293 	DATA 	Keypress: 3
828.1812 	DATA 	Keypress: 2
835.4488 	DATA 	Keypress: 3
838.5056 	DATA 	Keypress: 3
842.5385 	DATA 	Keypress: 4
846.0518 	DATA 	Keypress: 1
847.8690 	DATA 	Keypress: 1
849.4092 	DATA 	Keypress: 1
851.6071 	DATA 	Keypress: 1
854.0748 	DATA 	Keypress: 4
856.5868 	DATA 	Keypress: 1
858.5684 	DATA 	Keypress: 1
