0.0003 	WARNING 	Monitor specification not found. Creating a temporary one...
63.4723 	DATA 	Keypress: space
67.4963 	DATA 	Keypress: space
75.0538 	DATA 	Keypress: space
76.8491 	DATA 	Keypress: j
78.9831 	DATA 	Keypress: j
81.4386 	DATA 	Keypress: j
83.5002 	DATA 	Keypress: j
85.6880 	DATA 	Keypress: j
87.8722 	DATA 	Keypress: j
90.5160 	DATA 	Keypress: j
92.6663 	DATA 	Keypress: j
94.6722 	DATA 	Keypress: j
96.9047 	DATA 	Keypress: j
99.4215 	DATA 	Keypress: j
101.6552 	DATA 	Keypress: j
103.5871 	DATA 	Keypress: j
105.9492 	DATA 	Keypress: j
108.3382 	DATA 	Keypress: j
110.6714 	DATA 	Keypress: j
113.0166 	DATA 	Keypress: j
115.2370 	DATA 	Keypress: j
117.7818 	DATA 	Keypress: j
119.8379 	DATA 	Keypress: j
122.1051 	DATA 	Keypress: j
124.4715 	DATA 	Keypress: j
126.7826 	DATA 	Keypress: j
129.1049 	DATA 	Keypress: j
131.3719 	DATA 	Keypress: j
133.6052 	DATA 	Keypress: j
135.7050 	DATA 	Keypress: j
138.1371 	DATA 	Keypress: j
140.3498 	DATA 	Keypress: j
142.4553 	DATA 	Keypress: j
144.8556 	DATA 	Keypress: j
147.6178 	DATA 	Keypress: j
149.4555 	DATA 	Keypress: j
151.6992 	DATA 	Keypress: j
154.4008 	DATA 	Keypress: j
156.2167 	DATA 	Keypress: j
158.3888 	DATA 	Keypress: j
160.6373 	DATA 	Keypress: j
163.0387 	DATA 	Keypress: j
165.2038 	DATA 	Keypress: j
167.4048 	DATA 	Keypress: j
169.7051 	DATA 	Keypress: j
172.0710 	DATA 	Keypress: j
174.3377 	DATA 	Keypress: j
176.7337 	DATA 	Keypress: j
178.8382 	DATA 	Keypress: j
180.9383 	DATA 	Keypress: j
183.4381 	DATA 	Keypress: j
185.6049 	DATA 	Keypress: j
187.7821 	DATA 	Keypress: j
190.0167 	DATA 	Keypress: j
192.3349 	DATA 	Keypress: j
195.3222 	DATA 	Keypress: f
196.9225 	DATA 	Keypress: j
199.2396 	DATA 	Keypress: j
201.4498 	DATA 	Keypress: j
203.4225 	DATA 	Keypress: j
205.8726 	DATA 	Keypress: j
208.1881 	DATA 	Keypress: j
210.4713 	DATA 	Keypress: j
212.8166 	DATA 	Keypress: j
215.2541 	DATA 	Keypress: j
217.4389 	DATA 	Keypress: j
219.9561 	DATA 	Keypress: j
222.2213 	DATA 	Keypress: j
224.5837 	DATA 	Keypress: j
227.1666 	DATA 	Keypress: j
228.9214 	DATA 	Keypress: j
230.9835 	DATA 	Keypress: j
233.2543 	DATA 	Keypress: j
235.5879 	DATA 	Keypress: j
238.0382 	DATA 	Keypress: j
240.7349 	DATA 	Keypress: j
242.4223 	DATA 	Keypress: j
244.9163 	DATA 	Keypress: j
247.1197 	DATA 	Keypress: j
249.2721 	DATA 	Keypress: j
251.5993 	DATA 	Keypress: j
254.3008 	DATA 	Keypress: j
255.9220 	DATA 	Keypress: j
258.0993 	DATA 	Keypress: j
260.7676 	DATA 	Keypress: j
263.3676 	DATA 	Keypress: j
265.0884 	DATA 	Keypress: j
267.3227 	DATA 	Keypress: j
269.5385 	DATA 	Keypress: j
271.4889 	DATA 	Keypress: j
273.6876 	DATA 	Keypress: j
276.0219 	DATA 	Keypress: j
278.5055 	DATA 	Keypress: j
280.2331 	DATA 	Keypress: j
282.5713 	DATA 	Keypress: j
284.8385 	DATA 	Keypress: j
287.2385 	DATA 	Keypress: j
290.0668 	DATA 	Keypress: j
292.3668 	DATA 	Keypress: j
294.5891 	DATA 	Keypress: j
296.7998 	DATA 	Keypress: j
299.0884 	DATA 	Keypress: j
301.1332 	DATA 	Keypress: j
307.7916 	DATA 	Keypress: space
309.8673 	DATA 	Keypress: f
311.6216 	DATA 	Keypress: j
313.8334 	DATA 	Keypress: f
316.0715 	DATA 	Keypress: j
318.4557 	DATA 	Keypress: f
320.4666 	DATA 	Keypress: j
322.8559 	DATA 	Keypress: f
325.0497 	DATA 	Keypress: j
327.4549 	DATA 	Keypress: j
329.7994 	DATA 	Keypress: j
331.8888 	DATA 	Keypress: f
334.2501 	DATA 	Keypress: f
336.4990 	DATA 	Keypress: f
338.6883 	DATA 	Keypress: f
340.8324 	DATA 	Keypress: f
340.8656 	DATA 	Keypress: j
343.3385 	DATA 	Keypress: f
345.5873 	DATA 	Keypress: f
347.7331 	DATA 	Keypress: f
350.0214 	DATA 	Keypress: j
352.2846 	DATA 	Keypress: j
354.6329 	DATA 	Keypress: j
356.7996 	DATA 	Keypress: f
359.1384 	DATA 	Keypress: j
361.2219 	DATA 	Keypress: f
363.4553 	DATA 	Keypress: j
365.7385 	DATA 	Keypress: f
368.0737 	DATA 	Keypress: f
370.4544 	DATA 	Keypress: j
372.5332 	DATA 	Keypress: f
374.8385 	DATA 	Keypress: j
377.1492 	DATA 	Keypress: f
379.3546 	DATA 	Keypress: f
381.6668 	DATA 	Keypress: f
384.4018 	DATA 	Keypress: j
386.6683 	DATA 	Keypress: j
388.5000 	DATA 	Keypress: f
390.7888 	DATA 	Keypress: j
393.4353 	DATA 	Keypress: j
395.3396 	DATA 	Keypress: f
397.5050 	DATA 	Keypress: j
400.2513 	DATA 	Keypress: f
401.9491 	DATA 	Keypress: f
404.3333 	DATA 	Keypress: f
406.5723 	DATA 	Keypress: j
408.8997 	DATA 	Keypress: f
411.0882 	DATA 	Keypress: j
413.8163 	DATA 	Keypress: f
416.0670 	DATA 	Keypress: f
418.0019 	DATA 	Keypress: j
420.1547 	DATA 	Keypress: j
422.5181 	DATA 	Keypress: f
424.6049 	DATA 	Keypress: f
426.9330 	DATA 	Keypress: f
429.1548 	DATA 	Keypress: j
431.5515 	DATA 	Keypress: f
433.5718 	DATA 	Keypress: j
435.8333 	DATA 	Keypress: j
438.0384 	DATA 	Keypress: j
440.2739 	DATA 	Keypress: f
443.1507 	DATA 	Keypress: f
444.9661 	DATA 	Keypress: j
447.1723 	DATA 	Keypress: j
449.5550 	DATA 	Keypress: j
451.7171 	DATA 	Keypress: j
453.9825 	DATA 	Keypress: j
456.7518 	DATA 	Keypress: f
459.0020 	DATA 	Keypress: f
460.8679 	DATA 	Keypress: j
462.9723 	DATA 	Keypress: f
465.3057 	DATA 	Keypress: j
467.4559 	DATA 	Keypress: f
469.8375 	DATA 	Keypress: j
471.9880 	DATA 	Keypress: f
474.2330 	DATA 	Keypress: j
476.4824 	DATA 	Keypress: f
478.8165 	DATA 	Keypress: f
481.2385 	DATA 	Keypress: j
483.9176 	DATA 	Keypress: f
485.7168 	DATA 	Keypress: f
488.1016 	DATA 	Keypress: j
490.7026 	DATA 	Keypress: f
492.5494 	DATA 	Keypress: j
494.7836 	DATA 	Keypress: f
496.9334 	DATA 	Keypress: j
499.3856 	DATA 	Keypress: j
501.9689 	DATA 	Keypress: f
504.2332 	DATA 	Keypress: j
506.0551 	DATA 	Keypress: j
508.3550 	DATA 	Keypress: j
510.5382 	DATA 	Keypress: j
512.6995 	DATA 	Keypress: j
515.0222 	DATA 	Keypress: j
517.3554 	DATA 	Keypress: f
519.7545 	DATA 	Keypress: j
521.7561 	DATA 	Keypress: j
524.0668 	DATA 	Keypress: j
524.3512 	DATA 	Keypress: j
524.6842 	DATA 	Keypress: j
526.3560 	DATA 	Keypress: j
528.8165 	DATA 	Keypress: j
531.0662 	DATA 	Keypress: f
533.7184 	DATA 	Keypress: f
