Subject	Trial	StimType	StimCategory	Stimulus	KEY	Rating	RT
182	1	standard	AV	ba_base_face_w960.avi	2	Medium	3.878
182	2	oddball	PL	ba_redu_pl_w288.avi	2	Medium	3.517
182	3	oddball	AV	ba_redu_face_w960.avi	2	Medium	2.207
182	4	oddball	AV	ba_redu_face_w960.avi	2	Medium	2.061
182	5	standard	PIX	ba_base_pix_w960.avi	2	Medium	1.935
182	6	oddball	PL	ba_redu_pl_w288.avi	2	Medium	1.837
182	7	standard	PL	ba_base_pl_w288.avi	2	Medium	2.102
182	8	standard	AV	ba_base_face_w960.avi	2	Medium	1.816
182	9	standard	PL	ba_base_pl_w288.avi	2	Medium	1.973
182	10	standard	PIX	ba_base_pix_w960.avi	2	Medium	1.962
182	11	oddball	PL	ba_redu_pl_w288.avi	2	Medium	2.098
182	12	standard	PIX	ba_base_pix_w960.avi	2	Medium	1.886
182	13	oddball	AV	ba_redu_face_w960.avi	2	Medium	1.877
182	14	standard	PIX	ba_base_pix_w960.avi	2	Medium	1.817
182	15	standard	AV	ba_base_face_w960.avi	2	Medium	1.711
182	16	oddball	AV	ba_redu_face_w960.avi	2	Medium	1.981
182	17	standard	PL	ba_base_pl_w288.avi	2	Medium	1.827
182	18	oddball	PL	ba_redu_pl_w288.avi	2	Medium	1.882
182	19	standard	PL	ba_base_pl_w288.avi	2	Medium	1.888
182	20	standard	PL	ba_base_pl_w288.avi	2	Medium	1.932
182	21	oddball	PIX	ba_redu_pix_w960.avi	2	Medium	1.910
182	22	oddball	AV	ba_redu_face_w960.avi	2	Medium	1.817
182	23	oddball	PIX	ba_redu_pix_w960.avi	2	Medium	1.877
182	24	oddball	PIX	ba_redu_pix_w960.avi	2	Medium	1.791
182	25	standard	PL	ba_base_pl_w288.avi	2	Medium	1.752
182	26	standard	PIX	ba_base_pix_w960.avi	2	Medium	1.689
182	27	standard	AV	ba_base_face_w960.avi	2	Medium	1.668
182	28	oddball	AV	ba_redu_face_w960.avi	1	Strong	2.527
182	29	standard	PL	ba_base_pl_w288.avi	2	Medium	1.805
182	30	oddball	AV	ba_redu_face_w960.avi	2	Medium	1.721
182	31	oddball	PIX	ba_redu_pix_w960.avi	2	Medium	1.797
182	32	standard	PIX	ba_base_pix_w960.avi	2	Medium	1.785
182	33	oddball	PL	ba_redu_pl_w288.avi	1	Strong	2.097
182	34	oddball	PIX	ba_redu_pix_w960.avi	2	Medium	1.829
182	35	oddball	PL	ba_redu_pl_w288.avi	2	Medium	1.914
182	36	oddball	PIX	ba_redu_pix_w960.avi	2	Medium	1.868
182	37	oddball	AV	ba_redu_face_w960.avi	1	Strong	1.919
182	38	oddball	PIX	ba_redu_pix_w960.avi	1	Strong	2.399
182	39	oddball	PL	ba_redu_pl_w288.avi	2	Medium	1.688
182	40	oddball	PL	ba_redu_pl_w288.avi	2	Medium	1.861
182	41	standard	PL	ba_base_pl_w288.avi	2	Medium	1.849
182	42	standard	PIX	ba_base_pix_w960.avi	2	Medium	1.631
182	43	standard	PIX	ba_base_pix_w960.avi	2	Medium	1.988
182	44	oddball	PL	ba_redu_pl_w288.avi	1	Strong	1.788
182	45	standard	AV	ba_base_face_w960.avi	1	Strong	1.729
182	46	oddball	AV	ba_redu_face_w960.avi	1	Strong	1.844
182	47	oddball	PIX	ba_redu_pix_w960.avi	1	Strong	1.751
182	48	standard	AV	ba_base_face_w960.avi	1	Strong	1.698
182	49	standard	PL	ba_base_pl_w288.avi	1	Strong	1.983
182	50	oddball	PIX	ba_redu_pix_w960.avi	2	Medium	1.945
182	51	standard	AV	ba_base_face_w960.avi	2	Medium	1.762
182	52	standard	AV	ba_base_face_w960.avi	2	Medium	1.776
182	53	standard	PIX	ba_base_pix_w960.avi	2	Medium	1.763
182	54	standard	AV	ba_base_face_w960.avi	2	Medium	1.586
