0.0005 	WARNING 	Monitor specification not found. Creating a temporary one...
48.7300 	DATA 	Keypress: space
53.5457 	DATA 	Keypress: space
63.0410 	DATA 	Keypress: space
67.6721 	DATA 	Keypress: j
71.4852 	DATA 	Keypress: j
73.9297 	DATA 	Keypress: j
76.6808 	DATA 	Keypress: j
78.2515 	DATA 	Keypress: j
81.3000 	DATA 	Keypress: j
84.9347 	DATA 	Keypress: j
100.9353 	DATA 	Keypress: j
103.3364 	DATA 	Keypress: j
106.1982 	DATA 	Keypress: f
107.9799 	DATA 	Keypress: j
110.7319 	DATA 	Keypress: j
113.1192 	DATA 	Keypress: j
115.2631 	DATA 	Keypress: f
117.5315 	DATA 	Keypress: j
119.4812 	DATA 	Keypress: j
122.0643 	DATA 	Keypress: f
124.3482 	DATA 	Keypress: f
126.1966 	DATA 	Keypress: j
128.8975 	DATA 	Keypress: j
130.7123 	DATA 	Keypress: j
133.1142 	DATA 	Keypress: f
135.3461 	DATA 	Keypress: f
137.3695 	DATA 	Keypress: j
139.6800 	DATA 	Keypress: j
141.8299 	DATA 	Keypress: j
144.1358 	DATA 	Keypress: f
146.5351 	DATA 	Keypress: j
148.8349 	DATA 	Keypress: j
151.2649 	DATA 	Keypress: f
153.8480 	DATA 	Keypress: f
155.7296 	DATA 	Keypress: j
157.9183 	DATA 	Keypress: j
160.1964 	DATA 	Keypress: f
162.5184 	DATA 	Keypress: f
164.7849 	DATA 	Keypress: f
167.1124 	DATA 	Keypress: f
169.3791 	DATA 	Keypress: j
171.6021 	DATA 	Keypress: j
173.8010 	DATA 	Keypress: j
176.0794 	DATA 	Keypress: j
178.2472 	DATA 	Keypress: j
180.6189 	DATA 	Keypress: j
183.0314 	DATA 	Keypress: f
185.2462 	DATA 	Keypress: j
187.8813 	DATA 	Keypress: j
190.1652 	DATA 	Keypress: j
192.0018 	DATA 	Keypress: j
194.1846 	DATA 	Keypress: j
196.4189 	DATA 	Keypress: j
198.8182 	DATA 	Keypress: f
201.0470 	DATA 	Keypress: f
203.4185 	DATA 	Keypress: f
205.5844 	DATA 	Keypress: j
207.9520 	DATA 	Keypress: f
210.1517 	DATA 	Keypress: f
212.4683 	DATA 	Keypress: f
215.1645 	DATA 	Keypress: j
217.4301 	DATA 	Keypress: f
219.3810 	DATA 	Keypress: j
221.9823 	DATA 	Keypress: f
223.9324 	DATA 	Keypress: f
226.2150 	DATA 	Keypress: f
228.7977 	DATA 	Keypress: f
230.7021 	DATA 	Keypress: j
232.9352 	DATA 	Keypress: j
235.1956 	DATA 	Keypress: f
237.8642 	DATA 	Keypress: j
239.6343 	DATA 	Keypress: j
241.9679 	DATA 	Keypress: j
244.2667 	DATA 	Keypress: f
246.5519 	DATA 	Keypress: f
248.8171 	DATA 	Keypress: f
251.0527 	DATA 	Keypress: f
253.3857 	DATA 	Keypress: f
256.0147 	DATA 	Keypress: f
258.2811 	DATA 	Keypress: f
260.1848 	DATA 	Keypress: j
262.7978 	DATA 	Keypress: f
264.6136 	DATA 	Keypress: j
267.3320 	DATA 	Keypress: j
269.6608 	DATA 	Keypress: j
271.5300 	DATA 	Keypress: f
273.7523 	DATA 	Keypress: f
275.9184 	DATA 	Keypress: j
278.6817 	DATA 	Keypress: j
280.5852 	DATA 	Keypress: f
282.8694 	DATA 	Keypress: j
285.0684 	DATA 	Keypress: f
287.2961 	DATA 	Keypress: f
289.6015 	DATA 	Keypress: f
295.2505 	DATA 	Keypress: space
297.7000 	DATA 	Keypress: j
299.0295 	DATA 	Keypress: f
301.8306 	DATA 	Keypress: f
303.6635 	DATA 	Keypress: f
305.8972 	DATA 	Keypress: j
308.0965 	DATA 	Keypress: j
310.3148 	DATA 	Keypress: j
312.5801 	DATA 	Keypress: j
315.3981 	DATA 	Keypress: f
317.6479 	DATA 	Keypress: f
319.4473 	DATA 	Keypress: j
322.1477 	DATA 	Keypress: f
324.0802 	DATA 	Keypress: j
326.2306 	DATA 	Keypress: j
328.4803 	DATA 	Keypress: j
330.6973 	DATA 	Keypress: j
333.4321 	DATA 	Keypress: j
335.2964 	DATA 	Keypress: j
337.9306 	DATA 	Keypress: f
339.8480 	DATA 	Keypress: j
342.4500 	DATA 	Keypress: f
