0.0004 	WARNING 	Monitor specification not found. Creating a temporary one...
47.8086 	DATA 	Keypress: space
51.9695 	DATA 	Keypress: space
59.9437 	DATA 	Keypress: space
62.2143 	DATA 	Keypress: j
64.4641 	DATA 	Keypress: j
67.0966 	DATA 	Keypress: j
69.3449 	DATA 	Keypress: j
70.8640 	DATA 	Keypress: f
73.4821 	DATA 	Keypress: f
75.3965 	DATA 	Keypress: f
77.5791 	DATA 	Keypress: j
80.2475 	DATA 	Keypress: f
82.4982 	DATA 	Keypress: j
84.7653 	DATA 	Keypress: f
86.6966 	DATA 	Keypress: j
89.2648 	DATA 	Keypress: f
91.5139 	DATA 	Keypress: f
93.4471 	DATA 	Keypress: f
95.5317 	DATA 	Keypress: j
97.7985 	DATA 	Keypress: j
100.0127 	DATA 	Keypress: j
102.4144 	DATA 	Keypress: j
104.5634 	DATA 	Keypress: j
106.8137 	DATA 	Keypress: f
109.0972 	DATA 	Keypress: j
111.3129 	DATA 	Keypress: j
114.0813 	DATA 	Keypress: f
115.8136 	DATA 	Keypress: j
118.0633 	DATA 	Keypress: f
120.3805 	DATA 	Keypress: j
122.5797 	DATA 	Keypress: j
124.8143 	DATA 	Keypress: j
127.0637 	DATA 	Keypress: j
129.3124 	DATA 	Keypress: j
129.3463 	DATA 	Keypress: h
131.6480 	DATA 	Keypress: j
133.7967 	DATA 	Keypress: f
136.1808 	DATA 	Keypress: f
138.8815 	DATA 	Keypress: f
140.6643 	DATA 	Keypress: f
143.3813 	DATA 	Keypress: f
145.1973 	DATA 	Keypress: f
147.4137 	DATA 	Keypress: f
150.8468 	DATA 	Keypress: f
151.9643 	DATA 	Keypress: j
154.3969 	DATA 	Keypress: f
156.5803 	DATA 	Keypress: f
158.7136 	DATA 	Keypress: f
161.0632 	DATA 	Keypress: j
163.2632 	DATA 	Keypress: f
165.6650 	DATA 	Keypress: j
167.7793 	DATA 	Keypress: j
170.0637 	DATA 	Keypress: f
172.3966 	DATA 	Keypress: j
174.5995 	DATA 	Keypress: j
177.0635 	DATA 	Keypress: f
179.1299 	DATA 	Keypress: j
181.3475 	DATA 	Keypress: f
183.5798 	DATA 	Keypress: j
185.8474 	DATA 	Keypress: j
188.0975 	DATA 	Keypress: f
190.4803 	DATA 	Keypress: f
192.8129 	DATA 	Keypress: j
195.4145 	DATA 	Keypress: j
197.3301 	DATA 	Keypress: j
199.5794 	DATA 	Keypress: j
201.6647 	DATA 	Keypress: f
203.9625 	DATA 	Keypress: f
206.2638 	DATA 	Keypress: j
208.3633 	DATA 	Keypress: j
210.7296 	DATA 	Keypress: f
212.9642 	DATA 	Keypress: f
215.2145 	DATA 	Keypress: j
217.4805 	DATA 	Keypress: f
220.1819 	DATA 	Keypress: f
221.9637 	DATA 	Keypress: j
224.6797 	DATA 	Keypress: f
226.4975 	DATA 	Keypress: j
228.8642 	DATA 	Keypress: f
231.0655 	DATA 	Keypress: f
233.7306 	DATA 	Keypress: f
235.4633 	DATA 	Keypress: j
237.7970 	DATA 	Keypress: f
239.9464 	DATA 	Keypress: f
242.2142 	DATA 	Keypress: f
244.4803 	DATA 	Keypress: j
246.7965 	DATA 	Keypress: j
248.9137 	DATA 	Keypress: f
251.2141 	DATA 	Keypress: f
253.5306 	DATA 	Keypress: f
255.8145 	DATA 	Keypress: j
258.0807 	DATA 	Keypress: f
260.2134 	DATA 	Keypress: f
262.5294 	DATA 	Keypress: j
264.7462 	DATA 	Keypress: j
266.8479 	DATA 	Keypress: j
269.1145 	DATA 	Keypress: j
271.3467 	DATA 	Keypress: j
273.5636 	DATA 	Keypress: j
275.8802 	DATA 	Keypress: j
278.1811 	DATA 	Keypress: j
280.4306 	DATA 	Keypress: j
282.7976 	DATA 	Keypress: f
285.0471 	DATA 	Keypress: f
293.9416 	DATA 	Keypress: space
296.4245 	DATA 	Keypress: j
297.9643 	DATA 	Keypress: j
300.5307 	DATA 	Keypress: f
302.8633 	DATA 	Keypress: f
304.6857 	DATA 	Keypress: j
306.8631 	DATA 	Keypress: j
309.0969 	DATA 	Keypress: j
311.3136 	DATA 	Keypress: j
313.5027 	DATA 	Keypress: j
315.9636 	DATA 	Keypress: j
318.3149 	DATA 	Keypress: f
320.9142 	DATA 	Keypress: f
323.1809 	DATA 	Keypress: f
