Subject	Block	Trial	StimType	StimCategory	Stimulus	ACC	RESP	Sound	RT
215	1	1	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
215	1	2	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
215	1	3	standard	PL	ba_base_pl_w288.avi	1	j	BA	0.342
215	1	4	standard	PL	ba_base_pl_w288.avi	1	j	BA	0.107
215	1	5	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
215	1	6	oddball	PL	ba_redu_pl_w288.avi	0	none	none	999.000
215	1	7	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	0.297
215	1	8	standard	PL	ba_base_pl_w288.avi	1	j	BA	0.692
215	1	9	standard	PL	ba_base_pl_w288.avi	1	j	BA	0.408
215	1	10	standard	PL	ba_base_pl_w288.avi	1	j	BA	0.340
215	1	11	standard	PL	ba_base_pl_w288.avi	1	j	BA	0.486
215	1	12	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.484
215	1	13	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.890
215	1	14	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.895
215	1	15	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.883
215	1	16	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.890
215	1	17	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.895
215	1	18	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.895
215	1	19	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.489
215	1	20	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.895
215	1	21	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.895
215	1	22	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.888
215	1	23	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.892
215	1	24	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.885
215	1	25	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.938
215	1	26	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.897
215	1	27	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.895
215	1	28	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.891
215	1	29	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.912
215	1	30	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.893
215	1	31	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.892
215	1	32	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.889
215	1	33	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.988
215	1	34	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.958
215	1	35	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.893
215	1	36	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.949
215	1	37	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.891
215	1	38	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.893
215	1	39	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
215	1	40	standard	PL	ba_base_pl_w288.avi	1	j	BA	0.005
215	1	41	standard	PL	ba_base_pl_w288.avi	0	none	none	999.000
215	1	42	standard	PL	ba_base_pl_w288.avi	1	j	BA	0.275
215	1	43	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.913
215	1	44	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.887
215	1	45	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.913
215	1	46	oddball	PL	ba_redu_pl_w288.avi	0	j	BA	1.933
215	1	47	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.888
215	1	48	standard	PL	ba_base_pl_w288.avi	1	j	BA	1.889
