0.0004 	WARNING 	Monitor specification not found. Creating a temporary one...
16.4706 	DATA 	Keypress: space
21.9517 	DATA 	Keypress: space
34.8932 	DATA 	Keypress: space
37.5796 	DATA 	Keypress: j
39.5599 	DATA 	Keypress: j
41.7961 	DATA 	Keypress: j
44.1580 	DATA 	Keypress: j
46.6288 	DATA 	Keypress: j
48.8830 	DATA 	Keypress: j
51.1504 	DATA 	Keypress: j
53.5278 	DATA 	Keypress: j
55.3100 	DATA 	Keypress: j
58.1651 	DATA 	Keypress: j
59.9576 	DATA 	Keypress: j
62.4332 	DATA 	Keypress: j
64.6924 	DATA 	Keypress: j
66.5446 	DATA 	Keypress: j
68.9802 	DATA 	Keypress: j
71.0618 	DATA 	Keypress: j
73.3295 	DATA 	Keypress: j
75.5779 	DATA 	Keypress: j
77.8284 	DATA 	Keypress: j
80.0953 	DATA 	Keypress: j
82.3608 	DATA 	Keypress: j
84.6112 	DATA 	Keypress: j
86.9568 	DATA 	Keypress: j
89.2813 	DATA 	Keypress: j
91.3949 	DATA 	Keypress: j
93.6451 	DATA 	Keypress: j
95.9714 	DATA 	Keypress: j
98.2705 	DATA 	Keypress: j
100.4265 	DATA 	Keypress: j
102.6792 	DATA 	Keypress: j
104.9287 	DATA 	Keypress: j
107.1947 	DATA 	Keypress: j
109.4452 	DATA 	Keypress: j
111.3485 	DATA 	Keypress: j
113.6107 	DATA 	Keypress: j
116.2442 	DATA 	Keypress: j
118.1617 	DATA 	Keypress: j
120.4289 	DATA 	Keypress: j
123.0109 	DATA 	Keypress: j
125.2794 	DATA 	Keypress: j
127.1485 	DATA 	Keypress: j
129.8118 	DATA 	Keypress: j
131.6482 	DATA 	Keypress: j
134.3459 	DATA 	Keypress: j
136.2787 	DATA 	Keypress: j
138.8623 	DATA 	Keypress: j
140.7650 	DATA 	Keypress: j
143.3952 	DATA 	Keypress: j
145.6783 	DATA 	Keypress: j
147.9275 	DATA 	Keypress: j
149.8625 	DATA 	Keypress: j
152.0660 	DATA 	Keypress: j
154.7291 	DATA 	Keypress: j
156.6623 	DATA 	Keypress: j
159.2456 	DATA 	Keypress: j
161.5123 	DATA 	Keypress: j
163.4630 	DATA 	Keypress: j
165.6651 	DATA 	Keypress: j
167.9327 	DATA 	Keypress: j
170.1440 	DATA 	Keypress: j
172.3985 	DATA 	Keypress: j
174.6986 	DATA 	Keypress: j
176.9781 	DATA 	Keypress: j
179.2955 	DATA 	Keypress: j
181.5151 	DATA 	Keypress: j
183.7780 	DATA 	Keypress: j
186.0629 	DATA 	Keypress: j
188.2328 	DATA 	Keypress: j
190.4818 	DATA 	Keypress: j
192.7653 	DATA 	Keypress: j
194.9781 	DATA 	Keypress: j
197.2988 	DATA 	Keypress: j
199.4769 	DATA 	Keypress: j
201.8440 	DATA 	Keypress: j
204.0770 	DATA 	Keypress: j
206.3491 	DATA 	Keypress: j
209.1215 	DATA 	Keypress: j
211.3109 	DATA 	Keypress: j
213.5795 	DATA 	Keypress: j
215.8520 	DATA 	Keypress: j
218.1112 	DATA 	Keypress: j
220.3633 	DATA 	Keypress: j
222.6283 	DATA 	Keypress: j
224.5331 	DATA 	Keypress: j
227.1615 	DATA 	Keypress: j
229.4124 	DATA 	Keypress: j
231.6934 	DATA 	Keypress: j
233.9609 	DATA 	Keypress: j
236.2284 	DATA 	Keypress: j
239.1106 	DATA 	Keypress: j
241.2672 	DATA 	Keypress: j
243.0277 	DATA 	Keypress: j
245.2957 	DATA 	Keypress: j
247.5445 	DATA 	Keypress: j
249.8111 	DATA 	Keypress: j
251.7436 	DATA 	Keypress: j
254.0451 	DATA 	Keypress: j
256.2782 	DATA 	Keypress: j
258.4489 	DATA 	Keypress: j
260.6603 	DATA 	Keypress: j
268.6004 	DATA 	Keypress: space
271.8830 	DATA 	Keypress: j
273.0225 	DATA 	Keypress: f
275.2116 	DATA 	Keypress: j
277.4612 	DATA 	Keypress: j
279.7116 	DATA 	Keypress: j
282.9444 	DATA 	Keypress: j
284.6691 	DATA 	Keypress: j
286.5342 	DATA 	Keypress: f
289.2033 	DATA 	Keypress: f
291.0619 	DATA 	Keypress: j
293.3131 	DATA 	Keypress: j
295.5784 	DATA 	Keypress: f
297.8293 	DATA 	Keypress: f
300.1282 	DATA 	Keypress: j
302.3787 	DATA 	Keypress: j
304.6294 	DATA 	Keypress: j
307.4109 	DATA 	Keypress: f
309.3379 	DATA 	Keypress: f
311.4289 	DATA 	Keypress: j
313.6790 	DATA 	Keypress: j
315.9630 	DATA 	Keypress: f
318.2287 	DATA 	Keypress: f
320.4794 	DATA 	Keypress: f
322.7287 	DATA 	Keypress: j
325.0125 	DATA 	Keypress: j
327.2611 	DATA 	Keypress: f
329.5302 	DATA 	Keypress: f
331.3824 	DATA 	Keypress: f
333.7110 	DATA 	Keypress: f
335.9948 	DATA 	Keypress: f
338.1480 	DATA 	Keypress: f
340.5117 	DATA 	Keypress: j
343.1118 	DATA 	Keypress: f
345.0292 	DATA 	Keypress: f
347.2118 	DATA 	Keypress: j
349.8775 	DATA 	Keypress: j
352.1633 	DATA 	Keypress: f
354.0437 	DATA 	Keypress: j
356.2330 	DATA 	Keypress: j
358.4439 	DATA 	Keypress: j
360.8600 	DATA 	Keypress: f
363.0819 	DATA 	Keypress: j
365.3497 	DATA 	Keypress: f
367.6831 	DATA 	Keypress: j
369.9443 	DATA 	Keypress: j
372.0623 	DATA 	Keypress: j
374.4108 	DATA 	Keypress: f
376.5992 	DATA 	Keypress: j
378.9329 	DATA 	Keypress: f
381.1939 	DATA 	Keypress: f
383.4996 	DATA 	Keypress: j
385.8125 	DATA 	Keypress: f
388.3959 	DATA 	Keypress: f
390.2443 	DATA 	Keypress: f
392.5498 	DATA 	Keypress: f
395.1779 	DATA 	Keypress: j
396.9497 	DATA 	Keypress: j
399.2497 	DATA 	Keypress: j
401.5657 	DATA 	Keypress: f
403.8657 	DATA 	Keypress: j
406.0608 	DATA 	Keypress: f
408.3956 	DATA 	Keypress: j
410.5777 	DATA 	Keypress: f
412.8331 	DATA 	Keypress: j
415.5294 	DATA 	Keypress: j
417.4158 	DATA 	Keypress: j
419.6838 	DATA 	Keypress: f
421.9483 	DATA 	Keypress: j
424.1331 	DATA 	Keypress: j
426.4156 	DATA 	Keypress: j
428.6934 	DATA 	Keypress: j
430.9932 	DATA 	Keypress: f
433.2324 	DATA 	Keypress: f
435.5463 	DATA 	Keypress: j
437.7944 	DATA 	Keypress: j
439.9653 	DATA 	Keypress: j
442.2936 	DATA 	Keypress: f
444.5487 	DATA 	Keypress: f
446.7606 	DATA 	Keypress: f
449.4795 	DATA 	Keypress: f
