0.0004 	WARNING 	Monitor specification not found. Creating a temporary one...
29.1283 	DATA 	Keypress: space
33.8711 	DATA 	Keypress: space
43.7801 	DATA 	Keypress: space
50.5801 	DATA 	Keypress: j
56.8295 	DATA 	Keypress: j
61.1459 	DATA 	Keypress: j
64.0884 	DATA 	Keypress: j
68.6633 	DATA 	Keypress: j
73.0813 	DATA 	Keypress: j
77.2629 	DATA 	Keypress: j
81.7458 	DATA 	Keypress: j
86.5808 	DATA 	Keypress: j
95.5797 	DATA 	Keypress: j
102.3679 	DATA 	Keypress: j
106.4133 	DATA 	Keypress: j
109.4537 	DATA 	Keypress: j
111.3298 	DATA 	Keypress: f
113.5803 	DATA 	Keypress: f
115.8301 	DATA 	Keypress: f
117.6794 	DATA 	Keypress: j
119.8972 	DATA 	Keypress: j
122.1958 	DATA 	Keypress: j
124.3618 	DATA 	Keypress: j
127.0971 	DATA 	Keypress: f
129.0294 	DATA 	Keypress: j
131.6139 	DATA 	Keypress: f
133.3792 	DATA 	Keypress: j
135.6465 	DATA 	Keypress: j
138.0296 	DATA 	Keypress: f
140.0960 	DATA 	Keypress: f
142.8634 	DATA 	Keypress: j
145.1295 	DATA 	Keypress: j
147.0629 	DATA 	Keypress: j
149.1630 	DATA 	Keypress: j
151.3468 	DATA 	Keypress: j
153.6461 	DATA 	Keypress: j
155.8797 	DATA 	Keypress: j
158.6474 	DATA 	Keypress: j
160.5463 	DATA 	Keypress: f
162.6298 	DATA 	Keypress: f
164.8624 	DATA 	Keypress: f
167.2967 	DATA 	Keypress: j
169.9305 	DATA 	Keypress: j
172.1804 	DATA 	Keypress: f
173.9636 	DATA 	Keypress: f
176.2806 	DATA 	Keypress: j
178.4631 	DATA 	Keypress: j
180.6963 	DATA 	Keypress: f
182.9126 	DATA 	Keypress: f
185.0952 	DATA 	Keypress: f
187.4299 	DATA 	Keypress: f
189.6461 	DATA 	Keypress: j
192.0127 	DATA 	Keypress: f
194.2484 	DATA 	Keypress: f
196.3969 	DATA 	Keypress: j
198.6796 	DATA 	Keypress: f
200.9955 	DATA 	Keypress: f
203.0634 	DATA 	Keypress: j
205.3627 	DATA 	Keypress: f
207.8627 	DATA 	Keypress: f
210.4644 	DATA 	Keypress: j
212.2479 	DATA 	Keypress: f
214.3639 	DATA 	Keypress: f
216.6470 	DATA 	Keypress: f
219.0139 	DATA 	Keypress: f
221.1788 	DATA 	Keypress: j
223.4293 	DATA 	Keypress: f
225.6968 	DATA 	Keypress: j
228.4970 	DATA 	Keypress: j
230.2964 	DATA 	Keypress: f
232.6796 	DATA 	Keypress: f
235.2474 	DATA 	Keypress: f
236.9464 	DATA 	Keypress: j
239.3298 	DATA 	Keypress: f
241.4957 	DATA 	Keypress: j
243.7631 	DATA 	Keypress: f
246.0460 	DATA 	Keypress: j
248.2637 	DATA 	Keypress: f
250.4292 	DATA 	Keypress: f
252.7309 	DATA 	Keypress: j
255.1301 	DATA 	Keypress: j
257.4294 	DATA 	Keypress: f
259.5794 	DATA 	Keypress: j
261.6975 	DATA 	Keypress: j
264.0124 	DATA 	Keypress: j
266.3129 	DATA 	Keypress: f
268.4963 	DATA 	Keypress: f
276.9433 	DATA 	Keypress: space
283.1624 	DATA 	Keypress: f
285.4845 	DATA 	Keypress: j
287.7009 	DATA 	Keypress: j
289.9011 	DATA 	Keypress: f
292.2296 	DATA 	Keypress: f
294.5795 	DATA 	Keypress: f
296.7130 	DATA 	Keypress: j
299.0180 	DATA 	Keypress: j
301.7656 	DATA 	Keypress: j
303.5171 	DATA 	Keypress: j
305.7178 	DATA 	Keypress: j
307.9842 	DATA 	Keypress: f
310.3354 	DATA 	Keypress: j
312.6180 	DATA 	Keypress: j
314.8338 	DATA 	Keypress: f
317.1003 	DATA 	Keypress: f
319.8972 	DATA 	Keypress: f
321.6954 	DATA 	Keypress: j
323.8676 	DATA 	Keypress: f
326.1176 	DATA 	Keypress: j
