0.0005 	WARNING 	Monitor specification not found. Creating a temporary one...
24.2529 	DATA 	Keypress: space
27.6238 	DATA 	Keypress: space
35.4102 	DATA 	Keypress: space
43.0790 	DATA 	Keypress: j
48.7116 	DATA 	Keypress: j
53.3755 	DATA 	Keypress: j
58.2417 	DATA 	Keypress: j
62.2243 	DATA 	Keypress: j
67.3091 	DATA 	Keypress: j
69.9843 	DATA 	Keypress: space
71.3444 	DATA 	Keypress: space
74.8782 	DATA 	Keypress: j
80.3077 	DATA 	Keypress: j
83.2087 	DATA 	Keypress: j
85.1575 	DATA 	Keypress: j
87.3793 	DATA 	Keypress: j
90.0088 	DATA 	Keypress: j
92.2916 	DATA 	Keypress: j
94.2417 	DATA 	Keypress: j
96.8251 	DATA 	Keypress: j
98.7752 	DATA 	Keypress: f
101.3575 	DATA 	Keypress: f
103.6245 	DATA 	Keypress: f
105.8916 	DATA 	Keypress: j
110.0289 	DATA 	Keypress: j
112.3288 	DATA 	Keypress: f
114.9581 	DATA 	Keypress: f
117.2250 	DATA 	Keypress: f
119.1586 	DATA 	Keypress: f
121.7586 	DATA 	Keypress: f
124.0251 	DATA 	Keypress: j
126.3081 	DATA 	Keypress: f
128.2590 	DATA 	Keypress: f
130.8401 	DATA 	Keypress: f
132.7753 	DATA 	Keypress: f
137.2625 	DATA 	Keypress: j
146.7257 	DATA 	Keypress: j
148.6275 	DATA 	Keypress: j
150.6615 	DATA 	Keypress: j
160.0420 	DATA 	Keypress: j
162.2731 	DATA 	Keypress: j
164.5232 	DATA 	Keypress: f
166.7786 	DATA 	Keypress: f
169.0565 	DATA 	Keypress: j
171.2733 	DATA 	Keypress: f
173.4069 	DATA 	Keypress: j
175.8615 	DATA 	Keypress: f
177.9782 	DATA 	Keypress: f
187.0965 	DATA 	Keypress: j
189.4289 	DATA 	Keypress: f
191.5964 	DATA 	Keypress: f
193.8956 	DATA 	Keypress: f
196.0953 	DATA 	Keypress: f
198.3739 	DATA 	Keypress: f
200.6405 	DATA 	Keypress: j
203.0235 	DATA 	Keypress: j
205.1792 	DATA 	Keypress: j
207.5448 	DATA 	Keypress: j
209.7897 	DATA 	Keypress: j
212.1128 	DATA 	Keypress: f
215.3236 	DATA 	Keypress: f
223.6417 	DATA 	Keypress: f
228.1071 	DATA 	Keypress: f
233.1986 	DATA 	Keypress: j
234.8402 	DATA 	Keypress: j
237.0237 	DATA 	Keypress: f
239.8409 	DATA 	Keypress: j
241.6910 	DATA 	Keypress: f
243.8571 	DATA 	Keypress: f
246.0950 	DATA 	Keypress: f
248.2787 	DATA 	Keypress: f
250.6250 	DATA 	Keypress: j
253.1238 	DATA 	Keypress: f
255.3912 	DATA 	Keypress: f
257.6774 	DATA 	Keypress: f
259.9461 	DATA 	Keypress: j
262.2074 	DATA 	Keypress: j
269.7174 	DATA 	Keypress: space
277.9906 	DATA 	Keypress: j
285.6952 	DATA 	Keypress: f
289.1065 	DATA 	Keypress: f
291.6072 	DATA 	Keypress: j
293.8076 	DATA 	Keypress: j
295.9231 	DATA 	Keypress: j
298.2242 	DATA 	Keypress: j
300.6249 	DATA 	Keypress: f
302.9243 	DATA 	Keypress: f
305.2250 	DATA 	Keypress: j
307.3071 	DATA 	Keypress: f
309.5409 	DATA 	Keypress: j
311.7903 	DATA 	Keypress: j
314.1907 	DATA 	Keypress: f
316.4244 	DATA 	Keypress: f
318.7406 	DATA 	Keypress: j
321.0068 	DATA 	Keypress: j
322.9917 	DATA 	Keypress: f
329.9576 	DATA 	Keypress: f
332.0407 	DATA 	Keypress: f
334.4731 	DATA 	Keypress: j
336.6073 	DATA 	Keypress: j
338.8568 	DATA 	Keypress: j
341.1415 	DATA 	Keypress: f
343.4910 	DATA 	Keypress: j
345.5408 	DATA 	Keypress: j
347.8572 	DATA 	Keypress: j
350.1083 	DATA 	Keypress: f
352.4410 	DATA 	Keypress: f
354.7745 	DATA 	Keypress: j
357.0405 	DATA 	Keypress: f
359.1907 	DATA 	Keypress: j
361.4071 	DATA 	Keypress: j
363.6741 	DATA 	Keypress: f
365.9745 	DATA 	Keypress: f
368.6409 	DATA 	Keypress: j
370.9084 	DATA 	Keypress: f
372.6737 	DATA 	Keypress: f
375.0234 	DATA 	Keypress: j
377.2080 	DATA 	Keypress: j
379.5579 	DATA 	Keypress: f
381.7403 	DATA 	Keypress: j
383.9573 	DATA 	Keypress: j
386.1243 	DATA 	Keypress: f
388.5740 	DATA 	Keypress: j
390.5565 	DATA 	Keypress: f
392.9586 	DATA 	Keypress: j
395.2572 	DATA 	Keypress: f
397.5578 	DATA 	Keypress: f
404.6915 	DATA 	Keypress: f
417.7577 	DATA 	Keypress: f
420.0772 	DATA 	Keypress: f
422.2402 	DATA 	Keypress: j
424.4746 	DATA 	Keypress: j
426.6908 	DATA 	Keypress: f
428.9908 	DATA 	Keypress: f
431.3740 	DATA 	Keypress: j
433.5065 	DATA 	Keypress: f
435.7071 	DATA 	Keypress: j
437.7407 	DATA 	Keypress: j
440.3082 	DATA 	Keypress: f
442.3745 	DATA 	Keypress: j
444.6916 	DATA 	Keypress: j
447.0572 	DATA 	Keypress: j
449.2069 	DATA 	Keypress: j
451.5913 	DATA 	Keypress: j
453.7894 	DATA 	Keypress: f
458.0751 	DATA 	Keypress: j
460.6746 	DATA 	Keypress: j
462.8072 	DATA 	Keypress: f
465.0064 	DATA 	Keypress: f
467.3239 	DATA 	Keypress: f
469.6594 	DATA 	Keypress: f
471.7917 	DATA 	Keypress: j
474.1417 	DATA 	Keypress: f
476.3411 	DATA 	Keypress: j
478.6077 	DATA 	Keypress: f
480.7743 	DATA 	Keypress: j
482.9746 	DATA 	Keypress: f
485.2242 	DATA 	Keypress: f
487.4752 	DATA 	Keypress: f
489.9259 	DATA 	Keypress: f
492.1754 	DATA 	Keypress: j
494.4409 	DATA 	Keypress: f
499.3794 	DATA 	Keypress: space
506.0092 	DATA 	Keypress: j
507.9075 	DATA 	Keypress: j
510.0399 	DATA 	Keypress: j
512.4239 	DATA 	Keypress: f
514.6232 	DATA 	Keypress: j
517.0257 	DATA 	Keypress: j
519.2127 	DATA 	Keypress: j
521.5423 	DATA 	Keypress: j
523.6951 	DATA 	Keypress: j
525.9788 	DATA 	Keypress: f
528.6580 	DATA 	Keypress: j
530.5919 	DATA 	Keypress: f
532.7240 	DATA 	Keypress: j
535.1262 	DATA 	Keypress: f
537.3289 	DATA 	Keypress: f
539.4127 	DATA 	Keypress: f
541.5796 	DATA 	Keypress: f
543.8789 	DATA 	Keypress: f
546.2625 	DATA 	Keypress: j
548.5966 	DATA 	Keypress: f
