Subject	Trial	StimType	StimCategory	Stimulus	KEY	Rating	RT
259	1	oddball	PL	ba_redu_pl_w288.avi	4	No B	5.957
259	2	standard	PL	ba_base_pl_w288.avi	1	Strong	2.812
259	3	standard	PL	ba_base_pl_w288.avi	1	Strong	1.623
259	4	oddball	PL	ba_redu_pl_w288.avi	4	No B	2.802
259	5	oddball	PL	ba_redu_pl_w288.avi	4	No B	1.828
259	6	oddball	AV	ba_redu_face_w960.avi	3	Weak	5.080
259	7	standard	AV	ba_base_face_w960.avi	2	Medium	1.569
259	8	oddball	PIX	ba_redu_pix_w960.avi	4	No B	2.552
259	9	oddball	PIX	ba_redu_pix_w960.avi	4	No B	1.493
259	10	oddball	PL	ba_redu_pl_w288.avi	4	No B	1.495
259	11	standard	AV	ba_base_face_w960.avi	1	Strong	1.735
259	12	oddball	AV	ba_redu_face_w960.avi	1	Strong	1.407
259	13	oddball	AV	ba_redu_face_w960.avi	1	Strong	1.566
259	14	oddball	PL	ba_redu_pl_w288.avi	4	No B	1.823
259	15	standard	AV	ba_base_face_w960.avi	1	Strong	2.030
259	16	standard	AV	ba_base_face_w960.avi	1	Strong	1.321
259	17	standard	AV	ba_base_face_w960.avi	1	Strong	1.321
259	18	oddball	AV	ba_redu_face_w960.avi	4	No B	1.794
259	19	oddball	PIX	ba_redu_pix_w960.avi	4	No B	1.799
259	20	standard	PL	ba_base_pl_w288.avi	1	Strong	1.363
259	21	oddball	PIX	ba_redu_pix_w960.avi	4	No B	1.635
259	22	standard	PIX	ba_base_pix_w960.avi	1	Strong	1.582
259	23	standard	PIX	ba_base_pix_w960.avi	1	Strong	1.470
259	24	oddball	PIX	ba_redu_pix_w960.avi	4	No B	1.558
259	25	standard	PL	ba_base_pl_w288.avi	1	Strong	1.365
259	26	standard	PL	ba_base_pl_w288.avi	1	Strong	1.216
259	27	standard	PIX	ba_base_pix_w960.avi	1	Strong	1.549
259	28	standard	PIX	ba_base_pix_w960.avi	1	Strong	1.324
259	29	oddball	PL	ba_redu_pl_w288.avi	4	No B	1.505
259	30	oddball	AV	ba_redu_face_w960.avi	1	Strong	1.234
259	31	standard	PIX	ba_base_pix_w960.avi	1	Strong	1.186
259	32	standard	PL	ba_base_pl_w288.avi	1	Strong	1.323
259	33	oddball	PIX	ba_redu_pix_w960.avi	4	No B	1.424
259	34	oddball	AV	ba_redu_face_w960.avi	1	Strong	1.309
259	35	standard	AV	ba_base_face_w960.avi	1	Strong	1.198
259	36	oddball	PIX	ba_redu_pix_w960.avi	4	No B	1.368
259	37	standard	PIX	ba_base_pix_w960.avi	1	Strong	1.493
259	38	standard	AV	ba_base_face_w960.avi	1	Strong	1.660
259	39	standard	PL	ba_base_pl_w288.avi	1	Strong	1.489
259	40	standard	PIX	ba_base_pix_w960.avi	4	No B	1.361
259	41	oddball	PIX	ba_redu_pix_w960.avi	1	Strong	1.271
259	42	standard	AV	ba_base_face_w960.avi	1	Strong	2.244
259	43	oddball	PL	ba_redu_pl_w288.avi	4	No B	1.453
259	44	standard	PL	ba_base_pl_w288.avi	3	Weak	1.739
259	45	standard	PL	ba_base_pl_w288.avi	3	Weak	1.615
259	46	oddball	AV	ba_redu_face_w960.avi	3	Weak	1.615
259	47	standard	AV	ba_base_face_w960.avi	3	Weak	1.386
259	48	oddball	PL	ba_redu_pl_w288.avi	4	No B	1.614
259	49	oddball	AV	ba_redu_face_w960.avi	1	Strong	1.293
259	50	standard	PIX	ba_base_pix_w960.avi	1	Strong	1.234
259	51	standard	PIX	ba_base_pix_w960.avi	1	Strong	1.266
259	52	oddball	AV	ba_redu_face_w960.avi	1	Strong	1.396
259	53	oddball	PL	ba_redu_pl_w288.avi	4	No B	1.428
259	54	oddball	PIX	ba_redu_pix_w960.avi	1	Strong	1.357
