0.0005 	WARNING 	Monitor specification not found. Creating a temporary one...
39.6892 	DATA 	Keypress: space
45.0918 	DATA 	Keypress: space
55.7992 	DATA 	Keypress: space
58.7985 	DATA 	Keypress: j
60.3139 	DATA 	Keypress: j
62.5665 	DATA 	Keypress: j
64.8852 	DATA 	Keypress: f
67.4980 	DATA 	Keypress: j
69.4577 	DATA 	Keypress: j
71.9569 	DATA 	Keypress: j
73.8311 	DATA 	Keypress: j
76.0820 	DATA 	Keypress: f
78.4375 	DATA 	Keypress: j
80.6456 	DATA 	Keypress: j
83.2045 	DATA 	Keypress: j
84.6478 	DATA 	Keypress: j
87.3320 	DATA 	Keypress: j
89.6143 	DATA 	Keypress: j
91.8562 	DATA 	Keypress: j
94.4713 	DATA 	Keypress: j
96.3489 	DATA 	Keypress: j
98.7166 	DATA 	Keypress: j
100.9085 	DATA 	Keypress: f
103.1713 	DATA 	Keypress: j
105.5563 	DATA 	Keypress: j
107.9821 	DATA 	Keypress: f
109.8649 	DATA 	Keypress: j
112.1159 	DATA 	Keypress: j
114.4002 	DATA 	Keypress: j
116.6494 	DATA 	Keypress: j
118.8994 	DATA 	Keypress: f
121.6325 	DATA 	Keypress: j
123.7777 	DATA 	Keypress: j
125.6641 	DATA 	Keypress: j
127.9149 	DATA 	Keypress: j
129.5813 	DATA 	Keypress: j
132.4322 	DATA 	Keypress: f
134.6831 	DATA 	Keypress: j
136.9339 	DATA 	Keypress: j
139.1826 	DATA 	Keypress: j
141.4327 	DATA 	Keypress: j
143.6978 	DATA 	Keypress: j
145.9989 	DATA 	Keypress: j
148.1995 	DATA 	Keypress: j
150.1151 	DATA 	Keypress: f
152.8156 	DATA 	Keypress: j
155.0574 	DATA 	Keypress: f
157.2159 	DATA 	Keypress: j
159.0312 	DATA 	Keypress: j
161.7158 	DATA 	Keypress: f
163.9666 	DATA 	Keypress: j
166.2156 	DATA 	Keypress: f
168.8372 	DATA 	Keypress: j
170.7155 	DATA 	Keypress: j
173.3635 	DATA 	Keypress: j
175.2325 	DATA 	Keypress: j
177.4816 	DATA 	Keypress: j
179.7328 	DATA 	Keypress: j
182.0432 	DATA 	Keypress: j
184.2501 	DATA 	Keypress: j
186.5226 	DATA 	Keypress: f
188.7489 	DATA 	Keypress: j
191.0156 	DATA 	Keypress: j
193.2658 	DATA 	Keypress: j
195.1978 	DATA 	Keypress: f
