0.0004 	WARNING 	Monitor specification not found. Creating a temporary one...
61.2617 	DATA 	Keypress: space
65.4310 	DATA 	Keypress: space
71.1632 	DATA 	Keypress: space
73.9441 	DATA 	Keypress: space
75.7985 	DATA 	Keypress: f
77.7038 	DATA 	Keypress: h
80.3327 	DATA 	Keypress: h
82.0194 	DATA 	Keypress: j
84.4849 	DATA 	Keypress: j
86.4972 	DATA 	Keypress: j
88.9694 	DATA 	Keypress: j
91.3025 	DATA 	Keypress: j
93.4350 	DATA 	Keypress: f
95.6150 	DATA 	Keypress: space
97.9703 	DATA 	Keypress: j
100.2027 	DATA 	Keypress: j
102.6015 	DATA 	Keypress: j
104.8471 	DATA 	Keypress: j
107.1479 	DATA 	Keypress: j
109.3357 	DATA 	Keypress: j
111.5684 	DATA 	Keypress: f
113.7868 	DATA 	Keypress: j
116.1368 	DATA 	Keypress: j
118.3476 	DATA 	Keypress: j
120.6687 	DATA 	Keypress: j
122.8806 	DATA 	Keypress: j
125.2308 	DATA 	Keypress: j
127.5522 	DATA 	Keypress: j
129.7642 	DATA 	Keypress: j
132.1027 	DATA 	Keypress: j
134.2353 	DATA 	Keypress: j
136.4469 	DATA 	Keypress: j
138.8037 	DATA 	Keypress: j
142.5302 	DATA 	Keypress: j
143.1851 	DATA 	Keypress: j
143.4515 	DATA 	Keypress: j
145.4644 	DATA 	Keypress: j
147.9187 	DATA 	Keypress: j
150.1533 	DATA 	Keypress: j
152.9826 	DATA 	Keypress: j
154.7538 	DATA 	Keypress: j
157.0026 	DATA 	Keypress: j
159.4022 	DATA 	Keypress: j
161.4030 	DATA 	Keypress: j
163.8192 	DATA 	Keypress: j
166.5978 	DATA 	Keypress: j
168.8483 	DATA 	Keypress: j
171.1162 	DATA 	Keypress: j
172.8474 	DATA 	Keypress: j
175.2978 	DATA 	Keypress: j
177.5802 	DATA 	Keypress: j
179.8362 	DATA 	Keypress: j
181.9693 	DATA 	Keypress: j
184.2643 	DATA 	Keypress: j
186.5868 	DATA 	Keypress: j
188.7978 	DATA 	Keypress: j
191.1019 	DATA 	Keypress: j
193.4025 	DATA 	Keypress: j
197.6636 	DATA 	Keypress: j
198.0819 	DATA 	Keypress: j
200.0362 	DATA 	Keypress: j
202.4475 	DATA 	Keypress: j
204.6807 	DATA 	Keypress: j
206.8697 	DATA 	Keypress: j
209.2141 	DATA 	Keypress: j
211.6024 	DATA 	Keypress: j
213.7017 	DATA 	Keypress: j
216.6155 	DATA 	Keypress: j
218.8824 	DATA 	Keypress: f
220.7190 	DATA 	Keypress: j
222.7865 	DATA 	Keypress: j
225.6825 	DATA 	Keypress: j
227.5859 	DATA 	Keypress: j
229.7974 	DATA 	Keypress: j
231.8529 	DATA 	Keypress: j
234.1479 	DATA 	Keypress: j
236.4809 	DATA 	Keypress: j
238.7867 	DATA 	Keypress: j
