0.0004 	WARNING 	Monitor specification not found. Creating a temporary one...
101.5093 	DATA 	Keypress: space
109.4104 	DATA 	Keypress: space
117.2920 	DATA 	Keypress: space
120.1442 	DATA 	Keypress: j
122.0082 	DATA 	Keypress: j
123.9526 	DATA 	Keypress: j
126.5513 	DATA 	Keypress: j
128.4394 	DATA 	Keypress: j
130.5875 	DATA 	Keypress: j
132.6889 	DATA 	Keypress: j
135.0566 	DATA 	Keypress: j
137.4189 	DATA 	Keypress: j
139.5558 	DATA 	Keypress: j
141.8011 	DATA 	Keypress: j
144.6201 	DATA 	Keypress: j
146.1722 	DATA 	Keypress: j
148.5728 	DATA 	Keypress: j
150.8232 	DATA 	Keypress: j
153.1560 	DATA 	Keypress: j
155.3392 	DATA 	Keypress: j
157.4561 	DATA 	Keypress: j
159.9010 	DATA 	Keypress: j
161.8351 	DATA 	Keypress: j
164.3737 	DATA 	Keypress: j
166.7540 	DATA 	Keypress: j
169.0345 	DATA 	Keypress: j
171.3231 	DATA 	Keypress: j
173.5721 	DATA 	Keypress: j
175.6896 	DATA 	Keypress: j
178.0231 	DATA 	Keypress: j
180.0563 	DATA 	Keypress: j
182.4520 	DATA 	Keypress: j
184.7510 	DATA 	Keypress: j
186.9230 	DATA 	Keypress: j
189.2566 	DATA 	Keypress: j
191.5054 	DATA 	Keypress: j
193.7849 	DATA 	Keypress: j
195.9224 	DATA 	Keypress: j
198.2575 	DATA 	Keypress: j
200.6172 	DATA 	Keypress: j
203.3864 	DATA 	Keypress: j
205.0732 	DATA 	Keypress: j
207.3393 	DATA 	Keypress: j
209.6183 	DATA 	Keypress: j
211.8555 	DATA 	Keypress: j
214.2553 	DATA 	Keypress: j
216.3220 	DATA 	Keypress: j
219.3683 	DATA 	Keypress: j
221.5518 	DATA 	Keypress: j
223.2233 	DATA 	Keypress: j
225.4343 	DATA 	Keypress: j
227.8557 	DATA 	Keypress: j
229.9732 	DATA 	Keypress: j
232.3845 	DATA 	Keypress: j
234.6565 	DATA 	Keypress: j
236.8227 	DATA 	Keypress: j
239.1673 	DATA 	Keypress: j
241.3735 	DATA 	Keypress: j
243.5890 	DATA 	Keypress: j
245.9915 	DATA 	Keypress: j
248.2182 	DATA 	Keypress: j
250.4895 	DATA 	Keypress: j
252.5398 	DATA 	Keypress: j
254.8393 	DATA 	Keypress: j
257.2070 	DATA 	Keypress: j
259.7015 	DATA 	Keypress: j
261.9060 	DATA 	Keypress: j
263.9341 	DATA 	Keypress: j
266.4527 	DATA 	Keypress: j
268.5342 	DATA 	Keypress: j
270.6390 	DATA 	Keypress: j
273.0254 	DATA 	Keypress: j
275.1168 	DATA 	Keypress: j
277.5679 	DATA 	Keypress: j
279.6563 	DATA 	Keypress: j
281.9730 	DATA 	Keypress: j
284.1734 	DATA 	Keypress: j
286.4908 	DATA 	Keypress: j
288.7009 	DATA 	Keypress: j
291.0851 	DATA 	Keypress: j
293.4183 	DATA 	Keypress: j
295.4897 	DATA 	Keypress: j
297.9891 	DATA 	Keypress: j
300.2840 	DATA 	Keypress: j
302.4345 	DATA 	Keypress: j
304.5515 	DATA 	Keypress: j
307.0576 	DATA 	Keypress: j
309.2503 	DATA 	Keypress: j
311.6346 	DATA 	Keypress: j
313.4183 	DATA 	Keypress: j
316.5525 	DATA 	Keypress: j
318.3223 	DATA 	Keypress: j
320.4727 	DATA 	Keypress: j
322.9015 	DATA 	Keypress: j
325.0184 	DATA 	Keypress: j
327.3227 	DATA 	Keypress: j
329.6890 	DATA 	Keypress: j
331.8172 	DATA 	Keypress: j
334.0680 	DATA 	Keypress: j
336.3396 	DATA 	Keypress: j
338.8065 	DATA 	Keypress: j
341.0567 	DATA 	Keypress: j
343.3058 	DATA 	Keypress: j
348.8924 	DATA 	Keypress: space
